x,y,z,Cell Type
30014.0,13923.0,853.534,No Cell Type
36725.9,14086.2,851.323,No Cell Type
26357.8,3755.73,871.586,No Cell Type
26337.2,3759.83,854.928,No Cell Type
33869.3,20214.5,865.554,No Cell Type
33848.6,20220.5,891.612,No Cell Type
33876.0,20213.5,879.711,No Cell Type
43180.9,25688.5,940.622,No Cell Type
43163.8,25693.2,916.434,No Cell Type
39795.5,9191.88,937.401,No Cell Type
39799.1,9190.71,879.83,No Cell Type
48912.4,40582.7,889.846,No Cell Type
48920.0,40582.4,853.962,No Cell Type
48904.2,40581.7,853.427,No Cell Type
48917.2,40586.7,859.533,No Cell Type
48922.1,40583.7,874.703,No Cell Type
48913.8,40583.7,912.865,No Cell Type
39776.7,9190.45,850.022,No Cell Type
39783.0,9185.08,884.995,No Cell Type
39787.2,9200.01,866.151,No Cell Type
39804.4,9199.51,906.755,No Cell Type
39785.5,9183.89,888.148,No Cell Type
44298.9,38233.9,894.566,No Cell Type
1552.67,2644.63,893.543,No Cell Type
1572.4,2647.97,873.341,No Cell Type
34981.6,7793.98,954.311,No Cell Type
34956.9,7804.1,901.659,No Cell Type
46221.4,24484.0,950.548,No Cell Type
46225.6,24472.1,943.197,No Cell Type
39782.3,9191.99,949.146,No Cell Type
39782.8,9196.65,926.416,No Cell Type
45877.4,30858.2,850.092,No Cell Type
42937.8,42189.9,941.78,No Cell Type
44756.6,33077.0,892.347,No Cell Type
44753.7,33077.8,922.678,No Cell Type
44733.7,33069.7,827.369,No Cell Type
43155.8,25678.3,937.43,No Cell Type
22957.0,6567.25,933.835,No Cell Type
44069.7,13755.8,885.84,No Cell Type
44316.1,38216.3,836.489,No Cell Type
34966.1,7790.19,872.86,No Cell Type
26374.7,3758.91,927.571,No Cell Type
39749.5,9200.25,916.369,No Cell Type
46211.1,24489.6,907.124,No Cell Type
22945.4,6560.45,968.471,No Cell Type
33525.2,13814.9,969.828,No Cell Type
18074.5,23481.3,870.196,No Cell Type
18081.7,23484.0,969.817,No Cell Type
33541.3,13794.4,908.596,No Cell Type
7915.94,16627.6,923.047,No Cell Type
33529.5,13801.1,926.078,No Cell Type
33528.8,13796.3,907.114,No Cell Type
33524.3,13817.4,957.541,No Cell Type
38369.0,16624.4,947.671,No Cell Type
38393.3,16616.0,935.297,No Cell Type
38383.4,16628.9,965.095,No Cell Type
36727.6,14076.1,771.491,No Cell Type
36697.8,14088.5,879.224,No Cell Type
43885.8,18770.5,944.031,No Cell Type
43850.9,18765.2,913.526,No Cell Type
13479.9,23947.4,1006.84,No Cell Type
44335.4,38237.4,984.796,No Cell Type
44315.6,38247.5,942.735,No Cell Type
12311.4,4389.34,950.296,No Cell Type
12337.7,4394.9,970.696,No Cell Type
12319.2,4401.48,967.102,No Cell Type
38400.8,16624.5,952.138,No Cell Type
38370.6,16610.9,958.918,No Cell Type
39175.3,22945.1,935.833,No Cell Type
39170.9,22953.5,955.24,No Cell Type
13880.5,18362.7,829.262,No Cell Type
22025.3,26400.2,992.216,No Cell Type
22048.2,26411.4,967.625,No Cell Type
22038.4,26412.4,956.303,No Cell Type
10211.1,22072.0,962.035,No Cell Type
10200.8,22085.1,953.425,No Cell Type
46307.4,4818.13,900.208,No Cell Type
30006.0,13926.2,939.423,No Cell Type
36725.4,14082.2,939.433,No Cell Type
44077.7,13747.3,803.346,No Cell Type
44075.1,13758.7,892.223,No Cell Type
44090.7,13770.1,938.851,No Cell Type
44066.6,13760.5,879.198,No Cell Type
44339.1,38238.5,985.193,No Cell Type
44082.6,13763.7,912.165,No Cell Type
44051.4,13756.5,878.901,No Cell Type
44308.3,38228.4,928.685,No Cell Type
39788.0,9186.9,907.998,No Cell Type
39783.1,9191.85,919.407,No Cell Type
39761.1,9195.41,906.948,No Cell Type
39783.8,9192.54,929.898,No Cell Type
18067.6,23497.8,1006.05,No Cell Type
18066.8,23480.8,978.554,No Cell Type
13901.1,18344.8,781.83,No Cell Type
18074.2,23477.6,926.311,No Cell Type
18048.5,23489.8,962.8,No Cell Type
26348.3,3739.2,981.202,No Cell Type
26309.4,3733.65,966.914,No Cell Type
26322.9,3741.27,957.15,No Cell Type
26336.4,3736.27,923.146,No Cell Type
26314.0,3748.93,886.837,No Cell Type
26335.8,3739.76,974.107,No Cell Type
26331.7,3732.05,998.477,No Cell Type
26322.7,3731.57,940.317,No Cell Type
26325.2,3730.72,960.977,No Cell Type
26320.2,3729.48,944.197,No Cell Type
26320.4,3744.04,958.815,No Cell Type
26346.3,3748.16,924.439,No Cell Type
26328.0,3727.17,951.54,No Cell Type
34964.3,7788.44,910.763,No Cell Type
34980.5,7802.08,900.532,No Cell Type
26347.2,3740.65,998.24,No Cell Type
26406.4,38160.5,993.939,No Cell Type
26395.6,38154.3,956.684,No Cell Type
26406.6,38163.8,992.071,No Cell Type
44327.4,38235.7,968.777,No Cell Type
33071.2,7722.54,936.779,No Cell Type
43589.7,16977.8,871.06,No Cell Type
43618.9,17006.6,939.295,No Cell Type
43615.6,17004.5,922.541,No Cell Type
43598.2,17004.5,985.859,No Cell Type
43611.1,16997.7,936.123,No Cell Type
13435.9,19885.4,952.82,No Cell Type
13441.7,19916.8,1041.6,No Cell Type
18068.4,23482.8,959.011,No Cell Type
18072.2,23486.2,989.188,No Cell Type
