x,y,Cell Type
1077.96,2556.82,Immature Goblet
1079.01,2534.23,Tuft
1082.65,2554.09,TA1
1091.89,2547.38,Immature Goblet
1253.46,2554.64,CD4+
1104.66,2546.6,Pericytes
1092.07,2557.49,Macrophages
1121.26,2538.51,Immature Goblet
1100.93,2535.29,Immature Goblet
1123.19,2532.26,Immature Goblet
1102.22,2558.97,Pericytes
1131.19,2536.19,CyclingTA
1086.89,2552.09,Immature Goblet
1108.22,2527.62,Immature Goblet
1123.1,2549.26,Immature Goblet
1123.44,2553.35,Immature Goblet
1115.23,2533.57,Immature Goblet
1203.88,2550.25,Immature Goblet
1212.87,2556.38,Tuft
1113.16,2553.89,Immature Goblet
1238.3,2551.6,Cancer Associated Fibroblasts
1095.8,2543.0,Best4+ Enterocytes
1115.2,2546.03,Immature Goblet
1246.07,2549.18,Cancer Associated Fibroblasts
1116.74,2552.96,Immature Goblet
1206.54,2554.07,Immature Goblet
1215.37,2540.98,Immature Goblet
1230.28,2530.76,Immature Goblet
1242.19,2545.82,Stem
1234.74,2534.32,Cancer Associated Fibroblasts
1224.98,2537.56,Immature Goblet
1224.6,2550.39,Immature Goblet
1251.72,2544.85,Cancer Associated Fibroblasts
1232.43,2540.09,Immature Goblet
1224.28,2532.31,Immature Goblet
1233.27,2528.41,Immature Goblet
1210.01,2539.23,Immature Goblet
1255.37,2537.12,Immature Goblet
1249.39,2546.18,CD8+
1201.8,2555.38,Immature Goblet
1199.4,2552.58,Immature Goblet
1216.94,2536.11,Immature Goblet
1218.67,2541.81,Immature Goblet
1219.75,2547.32,Immature Goblet
1222.41,2530.03,Immature Goblet
1231.23,2534.36,Immature Goblet
1230.05,2549.12,Immature Goblet
1250.99,2531.5,Immature Goblet
1205.43,2533.21,Immature Goblet
1225.26,2541.73,Immature Goblet
1220.4,2537.64,Immature Goblet
1246.0,2531.76,Immature Goblet
1119.03,2542.07,Immature Goblet
1212.82,2546.44,Immature Goblet
1202.6,2532.35,Immature Goblet
1234.18,2551.85,CyclingTA
1247.77,2558.52,Immature Goblet
1230.46,2543.72,Immature Goblet
1202.24,2542.66,Immature Goblet
1221.68,2525.45,Immature Goblet
1219.21,2552.81,Immature Goblet
1228.15,2552.34,Immature Goblet
1228.66,2537.54,Immature Goblet
1243.89,2556.08,Immature Goblet
1269.9,2556.54,Tuft
1257.62,2531.22,Immature Goblet
1258.11,2542.32,Immature Goblet
1262.27,2544.67,Tuft
1273.05,2550.49,Immature Goblet
1258.25,2558.09,Immature Goblet
1277.01,2553.3,Endothelial
1285.36,2549.97,Stem
1288.67,2549.74,Immature Goblet
1266.37,2550.83,Stem
1265.72,2545.72,TA2
1301.55,2548.48,Immature Goblet
1291.12,2555.92,Endothelial
1269.1,2541.94,Immature Goblet
1280.08,2548.71,Immature Goblet
1226.48,2547.32,CyclingTA
1295.87,2558.04,Immature Goblet
989.78,2543.22,Myofibroblasts/Smooth Muscle 3
989.25,2528.82,Immature Goblet
990.61,2535.84,TA2
992.93,2552.37,Unknown_lowcount
994.42,2527.79,Immature Goblet
995.45,2543.3,Myofibroblasts/Smooth Muscle 1
994.6,2534.5,Cancer Associated Fibroblasts
996.43,2530.03,Immature Goblet
997.18,2550.57,Myofibroblasts/Smooth Muscle 1
