output_cell_label,is_other_group,source_cell_label,distribution_weight,source_distribution_weight,cell_id,compact_cell_id,organ,organ_id,as,as_label,sex,tool,modality,cell_count,cell_percentage,dataset_count
Ventricular Cardiomycoyte,False,Ventricular Cardiomycoyte,18375.859,18375.859,http://purl.obolibrary.org/obo/CL_0002131,CL_0002131,heart,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/UBERON_0002080,heart right ventricle,Female,azimuth,sc_transcriptomics,1.8375859E4,4.517515290490557E-1,14
Fibroblast,False,Fibroblast,6569.494,6569.494,http://purl.obolibrary.org/obo/CL_0000057,CL_0000057,heart,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/UBERON_0002080,heart right ventricle,Female,azimuth,sc_transcriptomics,6.569494E3,1.615042300650324E-1,14
Pericyte,False,Pericyte,6123.681,6123.681,http://purl.obolibrary.org/obo/CL_0000669,CL_0000669,heart,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/UBERON_0002080,heart right ventricle,Female,azimuth,sc_transcriptomics,6.123681E3,1.505443775531065E-1,14
Capillary Endothelial,False,Capillary Endothelial,4715.516000000001,4715.516000000001,http://purl.obolibrary.org/obo/CL_0002144,CL_0002144,heart,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/UBERON_0002080,heart right ventricle,Female,azimuth,sc_transcriptomics,4.715516000000001E3,1.15926094298791E-1,14
Other,True,NK,1626.906,304.913,http://purl.obolibrary.org/obo/CL_0000623,CL_0000623,heart,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/UBERON_0002080,heart right ventricle,Female,azimuth,sc_transcriptomics,3.04913E2,7.495971425169006E-3,14
Other,True,Neuronal,1626.906,285.221,http://purl.obolibrary.org/obo/CL_0002573,CL_0002573,heart,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/UBERON_0002080,heart right ventricle,Female,azimuth,sc_transcriptomics,2.85221E2,7.011863927933966E-3,14
Other,True,T,1626.906,273.018,http://purl.obolibrary.org/obo/CL_0000084,CL_0000084,heart,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/UBERON_0002080,heart right ventricle,Female,azimuth,sc_transcriptomics,2.73018E2,6.711865766814769E-3,14
Other,True,Endocardial,1626.906,192.787,http://purl.obolibrary.org/obo/CL_0002350,CL_0002350,heart,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/UBERON_0002080,heart right ventricle,Female,azimuth,sc_transcriptomics,1.92787E2,4.739469432736739E-3,14
Other,True,Mast,1626.906,158.273,http://purl.obolibrary.org/obo/CL_0000097,CL_0000097,heart,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/UBERON_0002080,heart right ventricle,Female,azimuth,sc_transcriptomics,1.58273E2,3.890978362273088E-3,14
Other,True,Adipocyte,1626.906,145.556,http://purl.obolibrary.org/obo/CL_0000136,CL_0000136,heart,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/UBERON_0002080,heart right ventricle,Female,azimuth,sc_transcriptomics,1.45556E2,3.578344041618101E-3,14
Other,True,Atrial Cardiomyocyte,1626.906,67.905,http://purl.obolibrary.org/obo/CL_0002129,CL_0002129,heart,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/UBERON_0002080,heart right ventricle,Female,azimuth,sc_transcriptomics,6.7905E1,1.669374344898713E-3,14
Other,True,B,1626.906,67.832,http://purl.obolibrary.org/obo/CL_0000236,CL_0000236,heart,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/UBERON_0002080,heart right ventricle,Female,azimuth,sc_transcriptomics,6.7832E1,1.667579715237015E-3,14
Other,True,Endothelial,1626.906,61.995,http://purl.obolibrary.org/obo/CL_0000115,CL_0000115,heart,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/UBERON_0002080,heart right ventricle,Female,azimuth,sc_transcriptomics,6.1995E1,1.524083094205077E-3,14
