x,y,Cell Type
217,921,SP cells
3696,1960,DP cells
3240,2499,DP cells
2370,2217,DP cells
4482,2280,VCAM+ DP cells
1784,1575,DP cells
3967,375,CD40+ APCs
4256,3020,Endothelial cells
2260,2964,Class II+ DP cells
4287,2153,DP cells
4239,3168,VCAM+ DP cells
3716,1381,APCs
173,778,PD-L1+ CD3+ DP cells 
3042,1174,CD19+ Cytokeratin 5/8+ cells
1795,521,JAG2+ mTECs
1854,806,CD19+ Cytokeratin 5/8+ cells
942,3259,TCRgd cells (proliferating)
3961,3329,DP cells
4074,1291,Class II+ DP cells
2786,2390,WGA+ cells
2655,2303,DP cells
3917,3426,Endothelial cells
1716,2459,DP cells
4282,3306,DP cells
727,23,CCR7+ cells
1465,2479,DP cells
445,1730,DP cells
2229,2022,CCR7+ cells
4364,1729,Endothelial cells
4344,394,PD-L1+ CD3+ DP cells 
2787,1457,SATB1+ CD3+ DP cells
2579,1930,VCAM+ DP cells
2007,3010,ETPs
1447,2879,DP cells
3172,832,APCs
2864,1009,JAG1+ VCAM+ macrophages
722,785,SP cells
1332,3118,DP cells
4001,2306,Class II+ DP cells
2065,3039,Class II+ DP cells
3866,664,CCR7+ cells
4495,1539,Endothelial cells
2781,996,CD274+ APCs
4459,1578,PD-L1+ CD3+ DP cells 
4067,1890,ETPs (proliferating)
1729,18,TCRgd cells
2969,112,DP cells
1621,2504,DP cells
1074,2874,DP cells
3348,239,SP cells
3709,2012,DP cells
4509,3266,DP cells
2890,1298,APCs
1373,2815,Class II+ DP cells
4259,2581,DP cells
4452,1353,VCAM+ DP cells
4121,2563,DP cells
824,2770,DP cells
1363,3276,TCRgd cells (proliferating)
713,1588,APCs
4448,1023,DP cells
2155,241,DP cells
612,1093,Fibroblasts
4461,1625,TCRgd cells
1214,2947,DP cells
487,233,SATB1+ CD3+ DP cells
193,1943,DP cells
2599,251,WGA+ cells
690,2668,DP cells
1671,16,SP cells
4224,3422,Fibroblasts
3019,16,PD-L1+ CD3+ DP cells 
4047,139,JAG1+ macrophages
4529,381,PD-L1+ CD3+ DP cells 
3333,1697,CCR7+ cells
2008,2863,VCAM+ DP cells
3260,1251,TCRgd cells (proliferating)
4512,3193,DP cells
2913,2877,DP cells
2062,307,DP cells
2651,1583,JAG1+ VCAM+ macrophages
1915,734,mTECs
648,1117,IgM+ cells
2754,3134,ETPs (proliferating)
3986,2725,DP cells
3902,1063,Endothelial cells
1811,3316,Endothelial cells
1468,1294,CD40+ APCs
4504,2273,cTECs
2514,1882,PD-L1+ CD3+ DP cells 
4193,3370,DP cells
3243,1561,Endothelial cells
3740,2817,DP cells
292,1515,DP cells
2218,486,CD45RA+ SP cells
3625,2258,Class II+ DP cells
1012,774,SP cells
1962,593,JAG1+ VCAM+ macrophages
3368,61,SP cells
1743,2422,PD-L1+ CD3+ DP cells 
1933,666,COL4+ cells
4095,1312,DP cells
726,2461,DP cells
2831,2773,DP cells
3947,3162,DP cells
2547,3227,JAG1+ VCAM+ macrophages
3439,2549,DP cells
4472,1703,cTECs
2883,2739,WGA+ cells
4407,2648,DP cells
978,2448,DP cells
1994,509,APCs
2456,2322,Macrophages
1719,386,mTECs
249,2800,Myeloid cells
4024,2404,DP cells
602,2992,ETPs (proliferating)
1212,3304,DP cells
3548,2647,DP cells
473,1414,PD-L1+ CD3+ DP cells 
3170,550,JAG2+ mTECs
4537,1120,WGA+ cells
4097,2158,DP cells
2787,712,ICAM+ epithelial cells
1071,2748,DP cells
1614,252,APCs
4178,1823,TCRgd cells
1303,358,ETPs
2297,2660,SP cells
3425,2344,TCRgd cells (proliferating)
487,1178,CD45RA+ SP cells
365,2440,WGA+ cells
1249,2805,DP cells
1888,77,WGA+ cells
4090,1371,Macrophages
1104,489,mTECs
1880,1705,TCRgd cells
2727,650,CD45RA+ SP cells
2457,3057,DP cells
3485,2961,DP cells
4138,978,WGA+ cells
1262,938,SP cells
707,2452,ETPs (proliferating)
103,2718,WGA+ cells
511,1974,SATB1+ CD3+ DP cells
2397,2650,DP cells
377,2025,DP cells
2724,743,SP cells
678,1492,Endothelial cells
2508,506,JAG1+ macrophages 
468,1721,Class II+ DP cells
2229,2144,DP cells
2309,1952,DP cells
627,962,SP cells
4460,1317,VCAM+ DP cells
2556,291,PD-L1+ CD3+ DP cells 
2981,3198,WGA+ cells
3218,1122,SP cells
3340,1418,CCR7+ cells
426,723,CD40+ APCs
4277,2898,VCAM+ DP cells
2665,3161,DP cells
2322,2116,WGA+ cells
3300,2941,DP cells
1506,433,CD19+ Cytokeratin 5/8+ cells
4394,2561,SATB1+ CD3+ DP cells
3900,877,WGA+ cells
2178,3143,DP cells
4052,8,TCRgd cells
1972,596,DP cells
503,2867,ETPs (proliferating)
4552,1720,Class II+ DP cells
643,859,JAG1+ VCAM+ macrophages
268,2015,DP cells
3275,2914,VCAM+ DP cells
3744,207,Endothelial cells
3941,2948,DP cells
4407,137,IgM+ cells
795,2170,DP cells
4033,2363,DP cells
3498,323,DP cells
3856,3221,ICAM+ epithelial cells
974,2935,DP cells
704,1623,TCRgd cells (proliferating)
225,1396,DP cells
3189,321,CD45RA+ SP cells
1717,2999,Endothelial cells
594,1174,TCRgd cells (proliferating)
4500,1692,DP cells
1597,1338,SP cells
204,2028,DP cells
983,260,PD-L1+ CD3+ DP cells 
136,3145,DP cells
3088,1655,TCRgd cells (proliferating)
3996,832,ETPs
380,2331,DP cells
1867,3011,DP cells
196,637,Macrophages
3622,8,TCRgd cells
1168,662,WGA+ cells
2012,1505,Endothelial cells
1721,1265,mTECs
4211,1249,DP cells
2752,434,CCR7+ cells
921,1801,CD45RA+ SP cells
4235,1813,DP cells
3059,2814,JAG1+ VCAM+ macrophages
3716,811,TCRgd cells
2453,3253,Endothelial cells
3836,1951,TCRgd cells
622,2796,ETPs (proliferating)
4361,3321,DP cells
84,1599,IgM+ cells
2904,1082,CD274+ APCs
2522,284,DP cells
324,777,mTECs
659,2012,Endothelial cells
3706,2107,DP cells
654,779,SP cells
240,422,SP cells
2077,2146,JAG1+ macrophages
1544,3300,DP cells
3080,88,DP cells
4138,2128,DP cells
1808,2520,JAG1+ macrophages
1049,894,COL4+ mTECs
3097,2627,DP cells
1056,2756,DP cells
524,2231,ETPs
1074,1406,Macrophages
142,532,DP cells
4134,2590,DP cells
4561,228,DP cells
3263,2460,PD-L1+ CD3+ DP cells 
103,845,Fibroblasts
1731,740,IgM+ cells
3916,2859,Endothelial cells
86,1752,DP cells
483,860,SP cells
4378,2595,ETPs (proliferating)
4170,1887,TCRgd cells
983,84,CCR7+ cells
2153,3224,DP cells
2586,3318,DP cells
1462,588,Fibroblasts
4383,502,Class II+ DP cells
3860,3279,VCAM+ DP cells
2827,2926,DP cells
4512,678,VCAM+ DP cells
3358,2267,Endothelial cells
2681,187,DP cells
1545,2831,VCAM+ DP cells
3893,1878,TCRgd cells
549,2092,SATB1+ CD3+ DP cells
3510,1652,DP cells
2784,1715,DP cells
300,731,SP cells
3415,529,JAG2+ mTECs
4313,1850,DP cells
586,1653,DP cells
1526,3059,DP cells
4304,3180,ETPs
2435,1064,mTECs
496,132,SATB1+ SP cells
4406,3087,DP cells
4060,1619,PD-L1+ CD3+ DP cells 
2212,349,DP cells
4354,853,CD19+ Cytokeratin 5/8+ cells
2138,2174,DP cells
494,878,mTECs
4293,665,SP cells
1578,3218,CD45RA+ SP cells
4322,1233,SP cells
4277,632,PD-L1+ CD3+ DP cells 
865,422,SP cells
969,2890,DP cells
1807,1450,JAG1+ VCAM+ macrophages
4428,1217,DP cells
3477,380,Class II+ DP cells
3644,1674,Endothelial cells
372,1206,DP cells
638,2132,ETPs
4524,3084,DP cells
4417,2746,VCAM+ DP cells
4261,3242,WGA+ cells
1997,3146,DP cells
2782,1535,TCRgd cells (proliferating)
3110,1054,CCR7+ cells
4213,245,WGA+ cells
2592,3255,Class II+ DP cells
1941,3080,DP cells
3067,2851,DP cells
855,2051,DP cells
693,350,APCs
1844,1427,JAG1+ VCAM+ macrophages
651,2343,Class II+ DP cells
2460,255,DP cells
2206,522,DP cells
4076,3107,JAG2+ mTECs
1041,3213,SP cells
122,2633,WGA+ cells
3841,1598,JAG1+ VCAM+ macrophages
1116,1199,COL4+ mTECs
4066,1747,ETPs (proliferating)
307,2353,DP cells
1382,3161,DP cells
1426,3288,DP cells
2897,1075,JAG2+ mTECs
4403,3060,VCAM+ DP cells
4209,1747,DP cells
4395,275,PD-L1+ CD3+ DP cells 
1365,2968,CCR7+ cells
261,3288,SP cells
3291,1055,TCRgd cells (proliferating)
674,2316,Class II+ DP cells
1509,3216,VCAM+ DP cells
2591,2306,DP cells
3047,1943,DP cells
1840,2680,Endothelial cells
2412,1686,CD45RA+ SP cells
1627,2786,Myeloid cells
3324,2353,DP cells
2497,1844,WGA+ cells
3188,595,CD45RA+ SP cells
3999,386,CD45RA+ SP cells
448,3275,CD19+ Cytokeratin 5/8+ cells
3647,2425,CCR7+ cells
283,2839,CD19+ Cytokeratin 5/8+ cells
3753,848,APCs
2594,2570,JAG1+ VCAM+ macrophages
3354,56,TCRgd cells (proliferating)
3672,1892,DP cells
1528,2745,DP cells
2247,3391,PD-L1+ CD3+ DP cells 
1160,2868,DP cells
3897,3176,DP cells
260,1089,JAG1+ VCAM+ macrophages
551,2868,IgM+ cells
661,897,CD40+ APCs
2649,2985,DP cells
1012,1425,JAG1+ macrophages 
4536,1170,DP cells
287,1322,PD-L1+ CD3+ DP cells 
3381,2455,SATB1+ CD3+ DP cells
2486,115,TCRgd cells (proliferating)
929,1557,CCR7+ cells
4290,2252,DP cells
2268,676,CCR7+ cells
2882,2921,WGA+ cells
3513,2638,DP cells
4134,2113,DP cells
1952,110,DP cells
259,2024,DP cells
1161,2450,CCR7+ cells
2124,60,DP cells
274,1284,ETPs (proliferating)
2186,529,TCRgd cells (proliferating)
1966,3129,JAG1+ VCAM+ macrophages
841,2118,DP cells
2021,245,JAG1+ VCAM+ macrophages
3545,2114,DP cells
1154,2022,CCR7+ cells
2100,2092,ETPs
4368,2792,DP cells
1490,3391,DP cells
3701,2834,DP cells
3399,2333,CCR7+ cells
289,1568,DP cells
1245,2695,ETPs (proliferating)
62,1102,DP cells
676,220,mTECs
2463,2838,DP cells
3425,2219,VCAM+ DP cells
4076,2702,VCAM+ DP cells
4501,3263,DP cells
4343,196,SATB1+ CD3+ DP cells
1877,3236,CD45RA+ SP cells
4108,717,TCRgd cells
3104,2318,SATB1+ SP cells
344,2814,Class II+ DP cells
3274,453,APCs
3045,162,PD-L1+ CD3+ DP cells 
1585,612,mTECs
1305,2812,ETPs (proliferating)
2268,1605,PD-L1+ CD3+ DP cells 
2350,1506,PD-L1+ CD3+ DP cells 
3437,2283,DP cells
3918,1744,Class II+ DP cells
90,2783,WGA+ cells
2607,2808,Class II+ DP cells
4223,1817,Class II+ DP cells
178,907,IgM+ cells
3371,2991,TCRgd cells
1548,3224,PD-L1+ CD3+ DP cells 
447,2425,Endothelial cells
2598,3126,DP cells
1308,2334,DP cells
4528,464,DP cells
646,2975,SATB1+ CD3+ DP cells
4459,2984,DP cells
3946,3001,DP cells
2709,2334,WGA+ cells
3102,2427,SP cells
2482,3195,DP cells
912,2528,DP cells
676,252,SP cells
3256,792,PD-L1+ CD3+ DP cells 
3652,1888,VCAM+ DP cells
3729,1234,mTECs
55,970,SP cells
1325,633,JAG1+ VCAM+ macrophages
3921,1886,DP cells
1568,2299,Myeloid cells
1407,2769,SP cells
2449,250,VCAM+ DP cells
4085,1442,DP cells
3242,1726,PD-L1+ CD3+ DP cells 
1908,2799,VCAM+ DP cells
1953,3169,DP cells
3629,2833,VCAM+ DP cells
800,478,CD45RA+ SP cells
3250,1504,CD19+ Cytokeratin 5/8+ cells
232,3102,TCRgd cells
1491,3406,CCR7+ cells
420,40,DP cells
3974,3310,Endothelial cells
553,1759,SATB1+ SP cells
4024,2389,DP cells
2627,2091,WGA+ cells
162,3207,WGA+ cells
4235,2208,Endothelial cells
2474,3038,JAG1+ macrophages
2947,1563,JAG2+ mTECs
4508,512,DP cells
2032,2290,CD19+ Cytokeratin 5/8+ cells
1735,2407,PD-L1+ CD3+ DP cells 
3418,2952,DP cells
2030,2193,cTECs
3744,1671,TCRgd cells (proliferating)
357,1334,TCRgd cells
43,1733,DP cells
810,265,SP cells
4431,2010,DP cells
3765,1104,mTECs
527,952,SP cells
749,2497,DP cells
1083,392,JAG2+ mTECs
2926,2864,WGA+ cells
609,3406,SP cells
4521,1461,DP cells
716,2608,DP cells
4161,2175,DP cells
4414,1020,Class II+ DP cells
1462,2735,Class II+ DP cells
2506,2754,DP cells
893,2599,DP cells
183,3130,VCAM+ DP cells
1888,1619,JAG1+ VCAM+ macrophages
50,3219,TCRgd cells
4525,3105,DP cells
857,2337,DP cells
2217,3411,DP cells
3027,1975,SP cells
842,1851,Myeloid cells
1594,3037,DP cells
3893,2887,CCR7+ cells
4477,1025,TCRgd cells (proliferating)
2689,3003,WGA+ cells
1936,3157,WGA+ cells
4439,1603,TCRgd cells (proliferating)
2114,1966,TCRgd cells
2400,2312,WGA+ cells
3464,1845,DP cells
3051,2933,DP cells
4136,2263,DP cells
942,2668,DP cells
2069,2817,VCAM+ DP cells
3537,2772,Endothelial cells
1743,3152,Fibroblasts
62,1528,DP cells
2332,1480,WGA+ cells
4517,2945,ETPs (proliferating)
1532,3130,SATB1+ CD3+ DP cells
3885,1096,SATB1+ CD3+ DP cells
4273,428,DP cells
2996,3136,CD19+ Cytokeratin 5/8+ cells
662,1746,DP cells
1291,1816,TCRgd cells (proliferating)
458,2153,DP cells
1830,3424,DP cells
3050,1896,PD-L1+ CD3+ DP cells 
1299,3055,DP cells
4268,956,APCs
2678,3304,VCAM+ DP cells
3212,2917,DP cells
2254,1627,SP cells
4375,266,WGA+ cells
4324,1282,Myeloid cells
4379,1274,VCAM+ DP cells
4295,3051,Class II+ DP cells
4267,1245,DP cells
2006,1411,CD19+ Cytokeratin 5/8+ cells
2461,2064,COL4+ cells
279,1307,DP cells
208,980,DP cells
2370,2905,ETPs (proliferating)
464,1774,CD19+ Cytokeratin 5/8+ cells
3752,2851,DP cells
4098,2131,DP cells
1760,647,JAG2+ mTECs
3606,3168,JAG1+ macrophages 
4453,1542,Endothelial cells
3676,2169,DP cells
1002,1683,Vascular smooth muscle cells
4349,1060,DP cells
112,3163,JAG1+ VCAM+ macrophages
3706,2696,DP cells
2968,3083,DP cells
88,2122,Myeloid cells
1030,2805,DP cells
