index,as_label,cell_type,cell_id,organ_percentage,x,y,z,hex_color,marker_shape
0,renal papilla,Inner Medullary Collecting Duct,CL:1000718,16.3248,0.0692094,0.268968,-0.111961,#51E1E9,sphere
1,renal papilla,Medullary Fibroblast,CL:4030022,3.5247,0.0693324,0.269957,-0.11091,#9192BA,sphere
2,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4941,0.0942614,0.247601,-0.0990004,#9192BA,sphere
3,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4941,0.0903929,0.19935,-0.0789908,#9192BA,sphere
4,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4941,0.0721178,0.259561,-0.123624,#9192BA,sphere
5,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4941,0.078291,0.21006,-0.0758904,#9192BA,sphere
6,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4941,0.0661581,0.258321,-0.108497,#9192BA,sphere
7,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4941,0.0704369,0.212122,-0.10206,#9192BA,sphere
8,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4941,0.0886896,0.245164,-0.0995788,#9192BA,sphere
9,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4941,0.0859937,0.238687,-0.101817,#9192BA,sphere
10,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4941,0.0858619,0.204752,-0.0921768,#9192BA,sphere
11,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4941,0.061675,0.237857,-0.109673,#9192BA,sphere
12,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4941,0.0783809,0.227175,-0.0957709,#9192BA,sphere
13,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4941,0.0734955,0.237347,-0.116846,#9192BA,sphere
14,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4941,0.0709099,0.260795,-0.112659,#9192BA,sphere
15,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4941,0.0759851,0.200876,-0.0873414,#9192BA,sphere
16,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4941,0.0971988,0.209746,-0.0809611,#9192BA,sphere
17,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4941,0.0874413,0.214908,-0.0896923,#9192BA,sphere
18,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4941,0.0841254,0.233817,-0.115945,#9192BA,sphere
19,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4941,0.0828551,0.199082,-0.0761297,#9192BA,sphere
20,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4941,0.0614976,0.276826,-0.108573,#9192BA,sphere
21,renal column,Descending Thin Limb Type 1,CL:4030012,9.8938,0.0660308,0.224985,-0.10696,#75D68A,sphere
22,renal column,Descending Thin Limb Type 1,CL:4030012,9.8938,0.0931242,0.234257,-0.103946,#75D68A,sphere
23,renal column,Descending Thin Limb Type 1,CL:4030012,9.8938,0.0820871,0.221487,-0.116513,#75D68A,sphere
24,renal column,Descending Thin Limb Type 1,CL:4030012,9.8938,0.0893117,0.234844,-0.110459,#75D68A,sphere
25,renal column,Descending Thin Limb Type 1,CL:4030012,9.8938,0.0928067,0.213433,-0.0829157,#75D68A,sphere
