index,as_label,cell_type,cell_id,organ_percentage,cell_count,x,y,z,hex_color,marker_shape
0,renal papilla,Inner Medullary Collecting Duct,CL:1000718,16.3457,806873,0.0831723,0.202017,-0.0826545,#70A5A8,sphere
1,renal papilla,Inner Medullary Collecting Duct,CL:1000718,16.3457,806873,0.0819215,0.200555,-0.0833892,#70A5A8,sphere
2,renal papilla,Inner Medullary Collecting Duct,CL:1000718,16.3457,806873,0.0819942,0.20046,-0.0832285,#70A5A8,sphere
3,renal papilla,Inner Medullary Collecting Duct,CL:1000718,16.3457,806873,0.0849372,0.201382,-0.0836162,#70A5A8,sphere
4,renal papilla,Medullary Fibroblast,CL:4030022,3.5328,179628,0.0819822,0.201385,-0.0836936,#D6B6D7,sphere
5,renal papilla,Medullary Fibroblast,CL:4030022,3.5328,179628,0.0821375,0.202207,-0.0823785,#D6B6D7,sphere
6,renal papilla,Connecting Tubule,CL:1000768,7.5909,377484,0.0828739,0.200117,-0.0828066,#F9CE8D,sphere
7,renal papilla,Ascending Thin Limb,CL:1001107,4.6864,233017,0.0841279,0.201085,-0.0839593,#CD8490,sphere
8,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4925,123031,0.0774529,0.245496,-0.101415,#A294C9,sphere
9,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4925,123031,0.0935055,0.230916,-0.113023,#A294C9,sphere
10,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4925,123031,0.0775193,0.228637,-0.0876875,#A294C9,sphere
11,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4925,123031,0.0673354,0.26611,-0.12374,#A294C9,sphere
12,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4925,123031,0.0850281,0.260939,-0.114451,#A294C9,sphere
13,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4925,123031,0.0560317,0.286448,-0.114562,#A294C9,sphere
14,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4925,123031,0.0758143,0.259186,-0.106004,#A294C9,sphere
15,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4925,123031,0.0770946,0.257248,-0.0997285,#A294C9,sphere
16,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4925,123031,0.0819357,0.266142,-0.100737,#A294C9,sphere
17,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4925,123031,0.0649742,0.275979,-0.103166,#A294C9,sphere
18,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4925,123031,0.0859635,0.232989,-0.103594,#A294C9,sphere
19,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4925,123031,0.0780264,0.225109,-0.0786081,#A294C9,sphere
20,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4925,123031,0.0815745,0.262098,-0.119426,#A294C9,sphere
21,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4925,123031,0.0882881,0.21818,-0.108138,#A294C9,sphere
22,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4925,123031,0.0803483,0.232231,-0.0981643,#A294C9,sphere
23,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4925,123031,0.0866586,0.206058,-0.0936474,#A294C9,sphere
24,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4925,123031,0.0606544,0.266115,-0.103045,#A294C9,sphere
25,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4925,123031,0.081706,0.21196,-0.105497,#A294C9,sphere
26,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4925,123031,0.0809381,0.222939,-0.0861579,#A294C9,sphere
27,renal column,Descending Thin Limb Type 1,CL:4030012,9.8877,490270,0.0710478,0.275712,-0.109879,#8DC599,sphere
28,renal column,Descending Thin Limb Type 1,CL:4030012,9.8877,490270,0.0661913,0.25619,-0.117901,#8DC599,sphere
29,renal column,Descending Thin Limb Type 1,CL:4030012,9.8877,490270,0.0808395,0.246531,-0.102658,#8DC599,sphere
30,renal column,Descending Thin Limb Type 1,CL:4030012,9.8877,490270,0.0944563,0.229194,-0.107382,#8DC599,sphere
31,renal column,Descending Thin Limb Type 1,CL:4030012,9.8877,490270,0.0893907,0.22053,-0.098703,#8DC599,sphere
32,renal column,Descending Thin Limb Type 1,CL:4030012,9.8877,490270,0.10037,0.240205,-0.106524,#8DC599,sphere
