index,as_label,cell_type,cell_id,organ_percentage,x,y,z,hex_color,marker_shape
0,renal papilla,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.0618514,0.326665,-0.0398962,#CD8490,sphere
1,renal papilla,Medullary Fibroblast,CL:4030022,2.6713,0.0628685,0.329296,-0.0356707,#9192BA,sphere
2,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,5.8153,0.0886398,0.298551,-0.011365,#E5E368,sphere
3,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,5.8153,0.0888905,0.267919,-0.00810869,#E5E368,sphere
4,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,5.8153,0.0645209,0.329051,-0.0256181,#E5E368,sphere
5,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,5.8153,0.0793067,0.281315,-0.0127947,#E5E368,sphere
6,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,5.8153,0.0811772,0.294416,-0.0198516,#E5E368,sphere
7,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,5.8153,0.0663397,0.28347,-0.0198741,#E5E368,sphere
8,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,5.8153,0.0592993,0.309658,-0.0339129,#E5E368,sphere
9,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,5.8153,0.0540577,0.31857,-0.0339212,#E5E368,sphere
10,renal column,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0547313,0.316842,-0.0348498,#F4A42C,sphere
11,renal column,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0854218,0.321247,-0.0434817,#F4A42C,sphere
12,renal column,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0702374,0.271522,0.00292709,#F4A42C,sphere
13,renal column,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0637572,0.324553,-0.0488925,#F4A42C,sphere
14,renal column,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0653517,0.327548,-0.0427319,#F4A42C,sphere
15,renal column,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0676873,0.297839,-0.030089,#F4A42C,sphere
16,renal column,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.0908889,0.315514,-0.0475289,#CD8490,sphere
17,renal column,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.0697025,0.329397,-0.0454796,#CD8490,sphere
18,renal column,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.0768597,0.336827,-0.048188,#CD8490,sphere
19,renal column,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.0693853,0.283527,-0.00848634,#CD8490,sphere
20,renal column,Ascending Thin Limb,CL:1001107,5.8872,0.0898875,0.301249,-0.0168367,#E154D8,sphere
21,renal column,Ascending Thin Limb,CL:1001107,5.8872,0.0813599,0.310145,-0.0466467,#E154D8,sphere
22,renal column,Ascending Thin Limb,CL:1001107,5.8872,0.0797654,0.321536,-0.0511716,#E154D8,sphere
23,renal column,Connecting Tubule,CL:1000768,6.6886,0.0897725,0.323598,-0.0452461,#507AED,sphere
24,renal column,Connecting Tubule,CL:1000768,6.6886,0.0924096,0.309204,-0.0305115,#507AED,sphere
25,renal column,Connecting Tubule,CL:1000768,6.6886,0.0880497,0.286076,-0.00765568,#507AED,sphere
26,renal column,Descending Thin Limb Type 2,CL:4030013,4.9522,0.0810883,0.30373,-0.0297335,#DF4B40,sphere
27,renal column,Descending Thin Limb Type 2,CL:4030013,4.9522,0.0560084,0.31992,-0.0325627,#DF4B40,sphere
28,renal column,Descending Thin Limb Type 2,CL:4030013,4.9522,0.0807605,0.31242,-0.0416285,#DF4B40,sphere
29,renal column,Distal Convoluted Tubule Type 1,CL:4030016,8.1886,0.0768759,0.315664,-0.0180868,#75D68A,sphere
30,renal column,Distal Convoluted Tubule Type 1,CL:4030016,8.1886,0.0834878,0.267107,-0.00936891,#75D68A,sphere
31,renal column,Medullary Thick Ascending Limb,CL:1001108,5.4043,0.087944,0.291839,-0.0280084,#8B68EB,sphere
32,renal column,Medullary Thick Ascending Limb,CL:1001108,5.4043,0.0824625,0.308802,-0.0388785,#8B68EB,sphere
33,renal column,Medullary Thick Ascending Limb,CL:1001108,5.4043,0.0751653,0.285491,-0.0100854,#8B68EB,sphere
34,renal column,Medullary Thick Ascending Limb,CL:1001108,5.4043,0.0784865,0.316637,-0.0420257,#8B68EB,sphere
35,renal column,Medullary Thick Ascending Limb,CL:1001108,5.4043,0.0649149,0.320173,-0.0322547,#8B68EB,sphere
36,renal column,Medullary Thick Ascending Limb,CL:1001108,5.4043,0.0609739,0.325605,-0.0360072,#8B68EB,sphere
37,renal column,Cortical Thick Ascending Limb,CL:1001109,16.3773,0.0774161,0.287304,-0.024199,#51E1E9,sphere
38,renal column,Cortical Thick Ascending Limb,CL:1001109,16.3773,0.0569052,0.322411,-0.0395647,#51E1E9,sphere
39,renal column,Cortical Thick Ascending Limb,CL:1001109,16.3773,0.0869048,0.27121,-0.0100857,#51E1E9,sphere
40,renal column,Cortical Thick Ascending Limb,CL:1001109,16.3773,0.0714286,0.315,-0.0304145,#51E1E9,sphere
41,renal column,Proximal Tubule Epithelial Segment 3,CL:4030011,3.1953,0.0733727,0.32449,-0.0514204,#9192BA,sphere
42,renal column,Outer Medullary Collecting Duct Principal,CL:1000716,0.8219,0.082431,0.320857,-0.0404002,#9192BA,sphere
43,kidney capsule,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.0980421,0.263555,-0.0167097,#CD8490,sphere
44,kidney capsule,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.0757628,0.339474,-0.0234602,#CD8490,sphere
45,kidney capsule,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.0721873,0.342981,-0.0248688,#CD8490,sphere
46,kidney capsule,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.0735823,0.279215,-0.0357129,#CD8490,sphere
47,kidney capsule,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.0624912,0.334421,-0.0647554,#CD8490,sphere
48,kidney capsule,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.0781567,0.30571,-0.00323136,#CD8490,sphere
49,kidney capsule,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.0910312,0.261348,0.00262781,#CD8490,sphere
50,kidney capsule,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.0943373,0.332164,-0.0535247,#CD8490,sphere
51,kidney capsule,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.100239,0.283683,-0.00449457,#CD8490,sphere
52,kidney capsule,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.0365876,0.328077,-0.0165963,#CD8490,sphere
53,kidney capsule,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.0583063,0.298769,-0.0404323,#CD8490,sphere
54,kidney capsule,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.0810004,0.339304,-0.0276865,#CD8490,sphere
55,kidney capsule,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.0922889,0.262307,0.00144851,#CD8490,sphere
56,kidney capsule,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.0567485,0.327413,-0.0601764,#CD8490,sphere
57,kidney capsule,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.0851087,0.259496,0.00745657,#CD8490,sphere
58,kidney capsule,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.0916599,0.263961,0.002497,#CD8490,sphere
59,kidney capsule,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.080089,0.294488,0.00643453,#CD8490,sphere
60,kidney capsule,Inner Medullary Collecting Duct,CL:1000718,14.3943,0.0993164,0.325173,-0.0368875,#CD8490,sphere
61,kidney capsule,Distal Convoluted Tubule Type 1,CL:4030016,8.1886,0.067652,0.293696,0.00501284,#75D68A,sphere
62,kidney capsule,Distal Convoluted Tubule Type 1,CL:4030016,8.1886,0.089144,0.254557,-0.0105389,#75D68A,sphere
63,kidney capsule,Distal Convoluted Tubule Type 1,CL:4030016,8.1886,0.0750101,0.317399,-0.0084457,#75D68A,sphere
64,kidney capsule,Distal Convoluted Tubule Type 1,CL:4030016,8.1886,0.0652571,0.301006,-0.0501605,#75D68A,sphere
65,kidney capsule,Distal Convoluted Tubule Type 1,CL:4030016,8.1886,0.0891038,0.253931,-0.0084398,#75D68A,sphere
66,kidney capsule,Distal Convoluted Tubule Type 1,CL:4030016,8.1886,0.0781835,0.33066,-0.0167085,#75D68A,sphere
67,kidney capsule,Distal Convoluted Tubule Type 1,CL:4030016,8.1886,0.034834,0.340081,-0.0257577,#75D68A,sphere
68,kidney capsule,Distal Convoluted Tubule Type 1,CL:4030016,8.1886,0.061,0.273578,0.00687848,#75D68A,sphere
69,kidney capsule,Distal Convoluted Tubule Type 1,CL:4030016,8.1886,0.057722,0.278215,-0.00327898,#75D68A,sphere
70,kidney capsule,Distal Convoluted Tubule Type 1,CL:4030016,8.1886,0.0933534,0.308716,-0.00781349,#75D68A,sphere
71,kidney capsule,Distal Convoluted Tubule Type 1,CL:4030016,8.1886,0.0782463,0.277696,0.012531,#75D68A,sphere
72,kidney capsule,Medullary Thick Ascending Limb,CL:1001108,5.4043,0.0906556,0.261553,0.00362547,#8B68EB,sphere
73,kidney capsule,Medullary Thick Ascending Limb,CL:1001108,5.4043,0.0878093,0.321305,-0.0609114,#8B68EB,sphere
74,kidney capsule,Medullary Thick Ascending Limb,CL:1001108,5.4043,0.091986,0.333111,-0.0342013,#8B68EB,sphere
75,kidney capsule,Medullary Thick Ascending Limb,CL:1001108,5.4043,0.0482209,0.345638,-0.0592719,#8B68EB,sphere
76,kidney capsule,Medullary Thick Ascending Limb,CL:1001108,5.4043,0.0817822,0.267122,0.011215,#8B68EB,sphere
77,kidney capsule,Medullary Thick Ascending Limb,CL:1001108,5.4043,0.052528,0.304682,-0.034558,#8B68EB,sphere
78,kidney capsule,Connecting Tubule,CL:1000768,6.6886,0.0887192,0.284592,0.00650079,#507AED,sphere
79,kidney capsule,Connecting Tubule,CL:1000768,6.6886,0.100009,0.318893,-0.0235044,#507AED,sphere
80,kidney capsule,Connecting Tubule,CL:1000768,6.6886,0.0529549,0.305257,-0.0404823,#507AED,sphere
81,kidney capsule,Connecting Tubule,CL:1000768,6.6886,0.0351264,0.329769,-0.0300414,#507AED,sphere
82,kidney capsule,Connecting Tubule,CL:1000768,6.6886,0.0888421,0.256839,-0.0157796,#507AED,sphere
83,kidney capsule,Ascending Thin Limb,CL:1001107,5.8872,0.0743252,0.288211,0.0102137,#E154D8,sphere
84,kidney capsule,Ascending Thin Limb,CL:1001107,5.8872,0.0951442,0.260863,-0.00434713,#E154D8,sphere
85,kidney capsule,Ascending Thin Limb,CL:1001107,5.8872,0.0340004,0.334766,-0.0293053,#E154D8,sphere
86,kidney capsule,Ascending Thin Limb,CL:1001107,5.8872,0.0821196,0.250592,-0.00444328,#E154D8,sphere
87,kidney capsule,Ascending Thin Limb,CL:1001107,5.8872,0.0882994,0.291381,0.00466833,#E154D8,sphere
88,kidney capsule,Cortical Thick Ascending Limb,CL:1001109,16.3773,0.0426615,0.316672,-0.0174066,#51E1E9,sphere
89,kidney capsule,Cortical Thick Ascending Limb,CL:1001109,16.3773,0.0793858,0.254341,-0.0130566,#51E1E9,sphere
90,kidney capsule,Cortical Thick Ascending Limb,CL:1001109,16.3773,0.0929491,0.319495,-0.013923,#51E1E9,sphere
91,kidney capsule,Cortical Thick Ascending Limb,CL:1001109,16.3773,0.0651065,0.348868,-0.0325175,#51E1E9,sphere
92,kidney capsule,Proximal Tubule Epithelial Segment 1,CL:4030009,5.8153,0.0751969,0.290101,-0.0461117,#E5E368,sphere
93,kidney capsule,Proximal Tubule Epithelial Segment 1,CL:4030009,5.8153,0.0923275,0.290879,0.00237877,#E5E368,sphere
94,kidney capsule,Proximal Tubule Epithelial Segment 1,CL:4030009,5.8153,0.0979969,0.308265,-0.0524818,#E5E368,sphere
95,kidney capsule,Proximal Tubule Epithelial Segment 1,CL:4030009,5.8153,0.0713289,0.259803,-0.0139237,#E5E368,sphere
96,kidney capsule,Proximal Tubule Epithelial Segment 3,CL:4030011,3.1953,0.0929246,0.257764,-0.00591056,#9192BA,sphere
97,kidney capsule,Proximal Tubule Epithelial Segment 3,CL:4030011,3.1953,0.056657,0.298023,-0.0334708,#9192BA,sphere
98,kidney capsule,Proximal Tubule Epithelial Segment 3,CL:4030011,3.1953,0.0757177,0.258844,-0.0170771,#9192BA,sphere
99,kidney capsule,Proximal Tubule Epithelial Segment 3,CL:4030011,3.1953,0.0921213,0.256655,-0.00646855,#9192BA,sphere
100,kidney capsule,Descending Thin Limb Type 2,CL:4030013,4.9522,0.0647761,0.329882,-0.0638537,#DF4B40,sphere
101,kidney capsule,Descending Thin Limb Type 2,CL:4030013,4.9522,0.0486533,0.312495,-0.0438716,#DF4B40,sphere
102,kidney capsule,Descending Thin Limb Type 2,CL:4030013,4.9522,0.0706955,0.285371,0.0117322,#DF4B40,sphere
103,kidney capsule,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0547228,0.343191,-0.0198515,#F4A42C,sphere
104,kidney capsule,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0967727,0.305683,-0.008749,#F4A42C,sphere
105,kidney capsule,Cortical Collecting Duct Principal,CL:1000714,3.8631,0.0748007,0.35138,-0.0549458,#9192BA,sphere
106,kidney capsule,Cortical Collecting Duct Principal,CL:1000714,3.8631,0.0861887,0.254292,0.00173693,#9192BA,sphere
107,kidney capsule,Medullary Fibroblast,CL:4030022,2.6713,0.0528247,0.307791,-0.0274556,#9192BA,sphere
108,kidney capsule,Medullary Fibroblast,CL:4030022,2.6713,0.0985034,0.264497,-0.0186008,#9192BA,sphere
109,kidney capsule,Fibroblast,CL:0000057,2.5583,0.100954,0.321749,-0.0322291,#9192BA,sphere
110,kidney capsule,Macula Densa,CL:1000850,1.8083,0.037937,0.330008,-0.0395408,#9192BA,sphere
111,kidney capsule,Descending Thin Limb Type 3,CL:4030014,1.3048,0.0751114,0.345588,-0.0317821,#9192BA,sphere
112,kidney capsule,Peritubular Capilary Endothelial,ASCTB-TEMP_peritubular-capilary-endothelial,0.6473,0.0894202,0.25543,-0.00231503,#9192BA,sphere
113,kidney capsule,Proximal Tubule Epithelial Segment 2,CL:4030010,0.0925,0.097787,0.286319,-0.0395344,#9192BA,sphere
114,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0897642,0.301923,-0.00938824,#F4A42C,sphere
115,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0585719,0.330463,-0.0577364,#F4A42C,sphere
116,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0528162,0.347342,-0.0467245,#F4A42C,sphere
117,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0670825,0.271882,0.0023538,#F4A42C,sphere
118,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0558498,0.349715,-0.0390616,#F4A42C,sphere
119,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0621159,0.332209,-0.0143192,#F4A42C,sphere
120,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0398107,0.334765,-0.0358225,#F4A42C,sphere
121,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0812471,0.273143,-0.0315977,#F4A42C,sphere
122,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0824192,0.275091,-0.0312074,#F4A42C,sphere
123,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0680031,0.274785,-0.0193028,#F4A42C,sphere
124,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0963318,0.317504,-0.050364,#F4A42C,sphere
125,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0712668,0.294403,-0.0374035,#F4A42C,sphere
126,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0953778,0.320757,-0.0332572,#F4A42C,sphere
127,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0895945,0.301198,-0.0435602,#F4A42C,sphere
128,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0596156,0.329591,-0.0173721,#F4A42C,sphere
129,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0465311,0.315635,-0.0352416,#F4A42C,sphere
130,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0580904,0.325709,-0.0141853,#F4A42C,sphere
131,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0389673,0.325798,-0.0167163,#F4A42C,sphere
132,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0474699,0.320561,-0.0191345,#F4A42C,sphere
133,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0723258,0.345974,-0.0311263,#F4A42C,sphere
134,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0742535,0.272977,0.0100163,#F4A42C,sphere
135,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0654355,0.281324,0.00392244,#F4A42C,sphere
136,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0899176,0.273872,-0.0355144,#F4A42C,sphere
137,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0674664,0.290175,-0.037238,#F4A42C,sphere
138,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.10219,0.303332,-0.0251975,#F4A42C,sphere
139,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0846624,0.257676,-0.0148853,#F4A42C,sphere
140,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0966848,0.291334,-0.0367034,#F4A42C,sphere
141,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0629158,0.342957,-0.0328434,#F4A42C,sphere
142,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0818865,0.299661,-0.047779,#F4A42C,sphere
143,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0800089,0.274099,-0.0249337,#F4A42C,sphere
144,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0496341,0.318216,-0.046653,#F4A42C,sphere
145,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0824565,0.25572,-0.000617673,#F4A42C,sphere
146,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0704024,0.283649,-0.0331148,#F4A42C,sphere
147,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0628768,0.333648,-0.0599751,#F4A42C,sphere
148,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0531507,0.343983,-0.0362084,#F4A42C,sphere
149,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0740641,0.294982,-0.00237833,#F4A42C,sphere
150,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0721761,0.348456,-0.039388,#F4A42C,sphere
151,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0770131,0.332632,-0.0575132,#F4A42C,sphere
152,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0735723,0.316157,-0.0562079,#F4A42C,sphere
153,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.100969,0.305015,-0.040797,#F4A42C,sphere
154,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0983415,0.285262,-0.0161593,#F4A42C,sphere
155,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0815011,0.32803,-0.0584209,#F4A42C,sphere
156,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0685997,0.319689,-0.0526883,#F4A42C,sphere
157,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.072044,0.256517,-0.00145477,#F4A42C,sphere
158,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.088135,0.274593,-0.0334677,#F4A42C,sphere
159,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.100554,0.299929,-0.0300627,#F4A42C,sphere
160,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0938906,0.314424,-0.0197617,#F4A42C,sphere
161,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0843781,0.294918,-0.00289395,#F4A42C,sphere
162,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0532461,0.309229,-0.0452809,#F4A42C,sphere
163,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.065731,0.348872,-0.0441994,#F4A42C,sphere
164,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0664629,0.33053,-0.0559625,#F4A42C,sphere
165,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0970167,0.284741,-0.00400914,#F4A42C,sphere
166,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.105973,0.311136,-0.0397743,#F4A42C,sphere
167,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.10189,0.270099,-0.0223469,#F4A42C,sphere
168,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.106891,0.277557,-0.0172836,#F4A42C,sphere
169,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0919136,0.285249,-0.0351219,#F4A42C,sphere
170,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0724879,0.302238,-0.0530474,#F4A42C,sphere
171,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0499957,0.333383,-0.0161679,#F4A42C,sphere
172,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0709406,0.264526,-0.00877219,#F4A42C,sphere
173,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0425983,0.340252,-0.0334339,#F4A42C,sphere
174,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0940627,0.264478,-0.00351714,#F4A42C,sphere
175,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0948362,0.297175,-0.00461503,#F4A42C,sphere
176,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0744373,0.34173,-0.0379873,#F4A42C,sphere
177,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0681927,0.324299,-0.0524781,#F4A42C,sphere
178,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0724741,0.321459,-0.0184923,#F4A42C,sphere
179,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0682953,0.274425,0.0107893,#F4A42C,sphere
180,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.095603,0.317708,-0.0462408,#F4A42C,sphere
181,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0424988,0.318855,-0.0197174,#F4A42C,sphere
182,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0428958,0.339832,-0.0318043,#F4A42C,sphere
183,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0904726,0.320179,-0.0278034,#F4A42C,sphere
184,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0631148,0.289054,-0.0240545,#F4A42C,sphere
185,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0906713,0.312282,-0.0181636,#F4A42C,sphere
186,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0592376,0.348746,-0.0502445,#F4A42C,sphere
187,outer cortex of kidney,Descending Thin Limb Type 1,CL:4030012,6.7708,0.0846656,0.294942,-0.0461261,#F4A42C,sphere
