index,as_label,cell_type,cell_id,organ_percentage,cell_count,x,y,z,hex_color,marker_shape
0,renal papilla,Inner Medullary Collecting Duct,CL:1000718,13.4146,1669740,0.0802641,0.282181,-0.00915515,#70A5A8,sphere
1,renal papilla,Inner Medullary Collecting Duct,CL:1000718,13.4146,1669740,0.0781302,0.281778,-0.009153,#70A5A8,sphere
2,renal papilla,Inner Medullary Collecting Duct,CL:1000718,13.4146,1669740,0.0765743,0.282559,-0.00916115,#70A5A8,sphere
3,renal papilla,Inner Medullary Collecting Duct,CL:1000718,13.4146,1669740,0.0768527,0.280472,-0.0100797,#70A5A8,sphere
4,renal papilla,Inner Medullary Collecting Duct,CL:1000718,13.4146,1669740,0.0765955,0.280278,-0.00958154,#70A5A8,sphere
5,renal papilla,Inner Medullary Collecting Duct,CL:1000718,13.4146,1669740,0.0780997,0.281783,-0.0103284,#70A5A8,sphere
6,renal papilla,Medullary Fibroblast,CL:4030022,3.1974,323532,0.0793587,0.281031,-0.00996385,#E97B74,sphere
7,renal papilla,Medullary Fibroblast,CL:4030022,3.1974,323532,0.0780781,0.282317,-0.0102911,#E97B74,sphere
8,renal papilla,Medullary Fibroblast,CL:4030022,3.1974,323532,0.0791697,0.27999,-0.00965605,#E97B74,sphere
9,renal papilla,Medullary Fibroblast,CL:4030022,3.1974,323532,0.0766906,0.281893,-0.0101119,#E97B74,sphere
10,renal papilla,Medullary Fibroblast,CL:4030022,3.1974,323532,0.0772217,0.281463,-0.0093171,#E97B74,sphere
11,renal papilla,Connecting Tubule,CL:1000768,6.8047,778820,0.0795066,0.280274,-0.00934365,#A294C9,sphere
12,renal papilla,Ascending Thin Limb,CL:1001107,5.5442,683564,0.0772698,0.281332,-0.0106166,#637597,sphere
13,renal papilla,Descending Thin Limb Type 3,CL:4030014,1.6807,162889,0.0767429,0.27941,-0.00920178,#95CBCF,sphere
14,renal papilla,Ascending Vasa Recta Endothelial,CL:1001131,0.7174,85707,0.0788656,0.28097,-0.0104572,#95CBCF,sphere
15,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,4.4579,678258,0.0714144,0.318529,-0.0300772,#D6B6D7,sphere
16,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,4.4579,678258,0.0634734,0.337055,-0.0532216,#D6B6D7,sphere
17,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,4.4579,678258,0.0809568,0.306977,-0.0428606,#D6B6D7,sphere
18,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,4.4579,678258,0.0710097,0.326868,-0.0480194,#D6B6D7,sphere
19,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,4.4579,678258,0.0602329,0.320306,-0.0451949,#D6B6D7,sphere
