index,as_label,cell_type,cell_id,organ_percentage,cell_count,x,y,z,hex_color,marker_shape
0,renal papilla,Inner Medullary Collecting Duct,CL:1000718,16.3008,806873,-0.0791829,0.22307,-0.081722,#70A5A8,sphere
1,renal papilla,Inner Medullary Collecting Duct,CL:1000718,16.3008,806873,-0.0811331,0.222983,-0.0828265,#70A5A8,sphere
2,renal papilla,Inner Medullary Collecting Duct,CL:1000718,16.3008,806873,-0.0800303,0.223181,-0.0815571,#70A5A8,sphere
3,renal papilla,Inner Medullary Collecting Duct,CL:1000718,16.3008,806873,-0.079015,0.221185,-0.0825641,#70A5A8,sphere
4,renal papilla,Medullary Fibroblast,CL:4030022,3.5392,179628,-0.0788899,0.223319,-0.082065,#D6B6D7,sphere
5,renal papilla,Medullary Fibroblast,CL:4030022,3.5392,179628,-0.0790218,0.223025,-0.0826742,#D6B6D7,sphere
6,renal papilla,Connecting Tubule,CL:1000768,7.6221,377484,-0.0805371,0.223484,-0.0822601,#F9CE8D,sphere
7,renal papilla,Ascending Thin Limb,CL:1001107,4.6471,233017,-0.0791325,0.221322,-0.0827275,#CD8490,sphere
8,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.462,123031,-0.0591618,0.25516,-0.101365,#A294C9,sphere
9,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.462,123031,-0.0886868,0.253418,-0.117529,#A294C9,sphere
10,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.462,123031,-0.0719918,0.257383,-0.0989522,#A294C9,sphere
11,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.462,123031,-0.0722181,0.233989,-0.0809925,#A294C9,sphere
12,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.462,123031,-0.0788031,0.221581,-0.0739956,#A294C9,sphere
13,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.462,123031,-0.0703082,0.263376,-0.104622,#A294C9,sphere
14,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.462,123031,-0.0651853,0.258343,-0.099195,#A294C9,sphere
15,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.462,123031,-0.0832043,0.250012,-0.0918453,#A294C9,sphere
16,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.462,123031,-0.068991,0.231138,-0.0862374,#A294C9,sphere
17,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.462,123031,-0.0645413,0.235283,-0.100709,#A294C9,sphere
18,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.462,123031,-0.0645687,0.264743,-0.104983,#A294C9,sphere
19,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.462,123031,-0.070967,0.267427,-0.0928633,#A294C9,sphere
20,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.462,123031,-0.0892005,0.219353,-0.0898978,#A294C9,sphere
21,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.462,123031,-0.0462017,0.259449,-0.102219,#A294C9,sphere
