index,as_label,cell_type,cell_id,organ_percentage,cell_count,x,y,z,hex_color,marker_shape
0,renal papilla,Inner Medullary Collecting Duct,CL:1000718,13.4139,1669740,-0.0571691,0.312103,-0.0226806,#70A5A8,sphere
1,renal papilla,Inner Medullary Collecting Duct,CL:1000718,13.4139,1669740,-0.0564384,0.311278,-0.0221784,#70A5A8,sphere
2,renal papilla,Inner Medullary Collecting Duct,CL:1000718,13.4139,1669740,-0.0590499,0.312298,-0.0243978,#70A5A8,sphere
3,renal papilla,Inner Medullary Collecting Duct,CL:1000718,13.4139,1669740,-0.0566979,0.313046,-0.0224816,#70A5A8,sphere
4,renal papilla,Inner Medullary Collecting Duct,CL:1000718,13.4139,1669740,-0.0560911,0.313228,-0.0212976,#70A5A8,sphere
5,renal papilla,Inner Medullary Collecting Duct,CL:1000718,13.4139,1669740,-0.0589555,0.310691,-0.0237805,#70A5A8,sphere
6,renal papilla,Medullary Fibroblast,CL:4030022,3.2152,323532,-0.0555687,0.310877,-0.0225172,#E97B74,sphere
7,renal papilla,Medullary Fibroblast,CL:4030022,3.2152,323532,-0.0565626,0.313504,-0.0214353,#E97B74,sphere
8,renal papilla,Medullary Fibroblast,CL:4030022,3.2152,323532,-0.0562121,0.311118,-0.022559,#E97B74,sphere
9,renal papilla,Medullary Fibroblast,CL:4030022,3.2152,323532,-0.055996,0.312462,-0.0221039,#E97B74,sphere
10,renal papilla,Medullary Fibroblast,CL:4030022,3.2152,323532,-0.0564429,0.313394,-0.0227102,#E97B74,sphere
11,renal papilla,Connecting Tubule,CL:1000768,6.8503,778820,-0.0578617,0.310676,-0.0219759,#A294C9,sphere
12,renal papilla,Ascending Thin Limb,CL:1001107,5.5806,683564,-0.056157,0.311829,-0.0212943,#637597,sphere
13,renal papilla,Descending Thin Limb Type 3,CL:4030014,1.6486,162889,-0.0563532,0.312717,-0.0215535,#95CBCF,sphere
14,renal papilla,Ascending Vasa Recta Endothelial,CL:1001131,0.7577,85707,-0.0560806,0.310923,-0.0225708,#95CBCF,sphere
15,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,4.4952,678258,-0.0534364,0.308413,-0.0130268,#D6B6D7,sphere
16,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,4.4952,678258,-0.0691001,0.294063,-0.0160488,#D6B6D7,sphere
17,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,4.4952,678258,-0.0658477,0.302287,-0.00561977,#D6B6D7,sphere
18,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,4.4952,678258,-0.05143,0.300727,-0.0201707,#D6B6D7,sphere
19,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,4.4952,678258,-0.064821,0.304749,-0.00757283,#D6B6D7,sphere
20,renal column,Descending Thin Limb Type 1,CL:4030012,10.1782,783760,-0.0598205,0.316946,-0.0414827,#CD8490,sphere
21,renal column,Descending Thin Limb Type 1,CL:4030012,10.1782,783760,-0.0750402,0.268025,-0.00144326,#CD8490,sphere
22,renal column,Descending Thin Limb Type 1,CL:4030012,10.1782,783760,-0.0548873,0.298429,-0.017848,#CD8490,sphere
23,renal column,Descending Thin Limb Type 1,CL:4030012,10.1782,783760,-0.0757496,0.293012,-0.00915075,#CD8490,sphere
24,renal column,Descending Thin Limb Type 1,CL:4030012,10.1782,783760,-0.0466707,0.309444,-0.0130567,#CD8490,sphere
25,renal column,Inner Medullary Collecting Duct,CL:1000718,13.4139,1669740,-0.0794791,0.299091,-0.0226327,#70A5A8,sphere
26,renal column,Inner Medullary Collecting Duct,CL:1000718,13.4139,1669740,-0.0576821,0.307016,-0.0193772,#70A5A8,sphere
27,renal column,Inner Medullary Collecting Duct,CL:1000718,13.4139,1669740,-0.0736442,0.286566,-0.0189992,#70A5A8,sphere
