organ_id,organ,extraction_site,sex,tool,modality,cell_id,cell_label,cell_count,cell_percentage
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000692,kidney interstitial fibroblast,1833,2.620817843866171E-1
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000718,kidney inner medulla collecting duct principal cell,854,1.221046611381184E-1
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000597,papillary tips cell,583,8.335716328281384E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001318,renal interstitial pericyte,333,4.761223906205319E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000890,alternatively activated macrophage,249,3.560194452387761E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000084,T cell,236,3.374320846439806E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_peritubular-capilary-endothelial,Peritubular Capilary Endothelial ,102,1.458392908207035E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030012,kidney loop of Henle short descending thin limb epithelial cell,86,1.229625393194166E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_descending-vasa-recta-endothelial,Descending Vasa Recta Endothelial ,75,1.07234772662282E-2
http://purl.obolibrary.org/obo/UBERON_0004539,Right kidney,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000452,parietal epithelial cell,74,1.058049756934515E-2
