Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID
3696.94,-37784.2,-5266.51,µm,Surface,Position,1,0
3666.09,-37769.8,-5195.59,µm,Surface,Position,1,1
3653.88,-37729.4,-5269.83,µm,Surface,Position,1,2
3645.15,-37768.2,-5107.89,µm,Surface,Position,1,3
3709.42,-37824.8,-5106.48,µm,Surface,Position,1,4
3693.76,-37774.8,-5249.66,µm,Surface,Position,1,5
3680.06,-37758.9,-5206.56,µm,Surface,Position,1,6
3709.15,-37788.5,-5235.48,µm,Surface,Position,1,7
3664.92,-37739.8,-5226.77,µm,Surface,Position,1,8
3635.06,-37730.4,-5163.33,µm,Surface,Position,1,9
3650.6,-37753,-5137.18,µm,Surface,Position,1,10
3685.5,-37757.2,-5191.58,µm,Surface,Position,1,11
3675.2,-37748.5,-5164.45,µm,Surface,Position,1,12
3686.24,-37738.3,-5216.42,µm,Surface,Position,1,13
3662.37,-37747.2,-5122.67,µm,Surface,Position,1,14
3678.78,-37754.5,-5167.87,µm,Surface,Position,1,15
3661.56,-37760.3,-5095.58,µm,Surface,Position,1,16
3675.79,-37757,-5100.07,µm,Surface,Position,1,17
3673.26,-37741.2,-5110.3,µm,Surface,Position,1,18
3673.89,-37728.7,-5140.25,µm,Surface,Position,1,19
3685.92,-37747.8,-5107.08,µm,Surface,Position,1,20
3701.74,-37735.2,-5173.81,µm,Surface,Position,1,21
3596.73,-37740.4,-5161.69,µm,Surface,Position,1,22
3688.79,-37817.6,-5230.38,µm,Surface,Position,1,23
3699.72,-37831.1,-5200.89,µm,Surface,Position,1,24
3689.01,-37799.9,-5256.5,µm,Surface,Position,1,25
3624.05,-37755.5,-5200.95,µm,Surface,Position,1,26
3614.6,-37741,-5171.57,µm,Surface,Position,1,27
3637.06,-37757.1,-5208.6,µm,Surface,Position,1,28
3629.43,-37776,-5124.52,µm,Surface,Position,1,29
3707.43,-37853.6,-5111.73,µm,Surface,Position,1,30
3635.51,-37742.4,-5254.72,µm,Surface,Position,1,31
3693.57,-37811.6,-5220.25,µm,Surface,Position,1,32
3692.15,-37808.4,-5246.25,µm,Surface,Position,1,33
3655.71,-37756.2,-5261.93,µm,Surface,Position,1,34
3591.94,-37728.4,-5169.19,µm,Surface,Position,1,35
3665.91,-37778.2,-5188.26,µm,Surface,Position,1,36
3652.39,-37748.5,-5281.62,µm,Surface,Position,1,37
3614.21,-37753.6,-5135.51,µm,Surface,Position,1,38
3650.26,-37752.5,-5214.77,µm,Surface,Position,1,39
3707.05,-37811.8,-5216.93,µm,Surface,Position,1,40
3692.55,-37788,-5240.19,µm,Surface,Position,1,41
3609.1,-37733.1,-5147.98,µm,Surface,Position,1,42
3601.21,-37729.9,-5281.69,µm,Surface,Position,1,43
3655.93,-37787.4,-5263.88,µm,Surface,Position,1,44
3598.67,-37736.3,-5236.23,µm,Surface,Position,1,45
3597.21,-37728.1,-5277.58,µm,Surface,Position,1,46
3686.99,-37811.7,-5278.71,µm,Surface,Position,1,47
3700.69,-37849.8,-5186.51,µm,Surface,Position,1,48
3570.93,-37729,-5175.12,µm,Surface,Position,1,49
