Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID
3608.58,-37742.9,-5229.26,µm,Surface,Position,1,50
3687.31,-37831.9,-5209.02,µm,Surface,Position,1,51
3623.88,-37766.9,-5205.89,µm,Surface,Position,1,52
3587.54,-37764.2,-5098.25,µm,Surface,Position,1,53
3685.92,-37820.3,-5233.77,µm,Surface,Position,1,54
3614.8,-37755.4,-5183.01,µm,Surface,Position,1,55
3690.83,-37835.1,-5189.79,µm,Surface,Position,1,56
3643.88,-37769.2,-5243.66,µm,Surface,Position,1,57
3703.2,-37817.9,-5267.72,µm,Surface,Position,1,58
3601.97,-37759.1,-5125.81,µm,Surface,Position,1,59
3616.5,-37728.7,-5284.13,µm,Surface,Position,1,60
3622.74,-37734.7,-5255.78,µm,Surface,Position,1,61
3597.33,-37770.1,-5183.81,µm,Surface,Position,1,62
3670.64,-37857.6,-5146.2,µm,Surface,Position,1,63
3571.66,-37776,-5100.81,µm,Surface,Position,1,64
3636.77,-37799.3,-5208.61,µm,Surface,Position,1,65
3639.35,-37783.9,-5280.97,µm,Surface,Position,1,66
3625.22,-37767.3,-5263.76,µm,Surface,Position,1,67
3579.76,-37755.4,-5150.72,µm,Surface,Position,1,68
3573.02,-37730.2,-5226.13,µm,Surface,Position,1,69
3685.76,-37848.2,-5205.77,µm,Surface,Position,1,70
3643.87,-37796.5,-5248.22,µm,Surface,Position,1,71
3616.04,-37776.8,-5195.17,µm,Surface,Position,1,72
3601.68,-37779.3,-5131.11,µm,Surface,Position,1,73
3677.25,-37827.3,-5202.74,µm,Surface,Position,1,74
3642.68,-37771.8,-5278.99,µm,Surface,Position,1,75
3637.63,-37781.4,-5227.1,µm,Surface,Position,1,76
3572.73,-37743.9,-5147.24,µm,Surface,Position,1,77
3525.39,-37728.1,-5191.58,µm,Surface,Position,1,78
3581.7,-37748.4,-5266.71,µm,Surface,Position,1,79
3713.23,-37906.9,-5217.58,µm,Surface,Position,1,80
3527.84,-37733.5,-5151.36,µm,Surface,Position,1,81
3668.58,-37850.2,-5210.21,µm,Surface,Position,1,82
3587.11,-37758.8,-5237.52,µm,Surface,Position,1,83
3573.99,-37731.5,-5282.76,µm,Surface,Position,1,84
3649.8,-37811.1,-5187.74,µm,Surface,Position,1,85
3592.41,-37803.9,-5098.05,µm,Surface,Position,1,86
3598.74,-37756,-5283.82,µm,Surface,Position,1,87
3615.08,-37811.3,-5181.58,µm,Surface,Position,1,88
3664.54,-37837.4,-5216.87,µm,Surface,Position,1,89
3594.9,-37784.7,-5170.3,µm,Surface,Position,1,90
3569.27,-37760.6,-5163.14,µm,Surface,Position,1,91
3525.55,-37728.3,-5153.08,µm,Surface,Position,1,92
3672.44,-37831.4,-5241.65,µm,Surface,Position,1,93
3623.22,-37774.8,-5285.58,µm,Surface,Position,1,94
3630.63,-37825.7,-5136.72,µm,Surface,Position,1,95
3656.85,-37868.5,-5206.88,µm,Surface,Position,1,96
3681.86,-37867.2,-5273.45,µm,Surface,Position,1,97
3558.89,-37748.8,-5273.43,µm,Surface,Position,1,98
3525.89,-37737.7,-5195.38,µm,Surface,Position,1,99
3628.12,-37837.9,-5187.66,µm,Surface,Position,1,100
3582.35,-37740.9,-5262.51,µm,Surface,Position,1,101
3656.56,-37861.3,-5181.35,µm,Surface,Position,1,102
3610.35,-37795.5,-5254.26,µm,Surface,Position,1,103
3561.14,-37743.9,-5271.29,µm,Surface,Position,1,104
3687.06,-37903.1,-5152.98,µm,Surface,Position,1,105
3667.27,-37851.7,-5253.61,µm,Surface,Position,1,106
3708.97,-37902,-5211.38,µm,Surface,Position,1,107
3527.14,-37731.1,-5197.21,µm,Surface,Position,1,108
3630.3,-37801.6,-5281.49,µm,Surface,Position,1,109
3565.82,-37778.5,-5138.33,µm,Surface,Position,1,110
3577.24,-37755.3,-5236.63,µm,Surface,Position,1,111
3580.28,-37767.8,-5214.88,µm,Surface,Position,1,112
3564.97,-37733.8,-5252.05,µm,Surface,Position,1,113
3661.98,-37901.3,-5151.23,µm,Surface,Position,1,114
3579.15,-37814.9,-5186.15,µm,Surface,Position,1,115
3532.98,-37742.9,-5220.69,µm,Surface,Position,1,116
3648.19,-37904,-5110.06,µm,Surface,Position,1,117
3558.01,-37756.9,-5284.02,µm,Surface,Position,1,118
3592.02,-37801.7,-5182.79,µm,Surface,Position,1,119
3599.99,-37806.2,-5238.02,µm,Surface,Position,1,120
3572.85,-37793.2,-5192.93,µm,Surface,Position,1,121
3572.34,-37804.4,-5170.65,µm,Surface,Position,1,122
3536.98,-37733.8,-5254.58,µm,Surface,Position,1,123
3547.86,-37795.6,-5109.87,µm,Surface,Position,1,124
3576.73,-37805.4,-5153.15,µm,Surface,Position,1,125
3613.56,-37812.5,-5261.31,µm,Surface,Position,1,126
3681.93,-37879.4,-5265.64,µm,Surface,Position,1,127
3628.08,-37841.9,-5221.58,µm,Surface,Position,1,128
3576.06,-37800.5,-5177.99,µm,Surface,Position,1,129
3552.61,-37734.2,-5270.59,µm,Surface,Position,1,130
3576.77,-37780.7,-5223.59,µm,Surface,Position,1,131
3588.32,-37853,-5185.51,µm,Surface,Position,1,132
3560.47,-37803.7,-5226.13,µm,Surface,Position,1,133
3590.17,-37826.3,-5260.32,µm,Surface,Position,1,134
3603.08,-37843.1,-5224.75,µm,Surface,Position,1,135
3540.55,-37751.8,-5269.8,µm,Surface,Position,1,136
3640.67,-37874.8,-5211.99,µm,Surface,Position,1,137
3681.76,-37900.9,-5280.33,µm,Surface,Position,1,138
3545.96,-37785.5,-5216.24,µm,Surface,Position,1,139
3657.62,-37888.9,-5200.71,µm,Surface,Position,1,140
3568.37,-37798,-5240.55,µm,Surface,Position,1,141
3626.22,-37855.7,-5236.78,µm,Surface,Position,1,142
3593.39,-37819.7,-5260.34,µm,Surface,Position,1,143
3616.74,-37867.6,-5158.79,µm,Surface,Position,1,144
3660.49,-37873,-5283.29,µm,Surface,Position,1,145
3549.87,-37819.2,-5102.65,µm,Surface,Position,1,146
3528.05,-37780.1,-5138.31,µm,Surface,Position,1,147
3525.39,-37795.1,-5117.58,µm,Surface,Position,1,148
3555.17,-37790,-5197.46,µm,Surface,Position,1,149
3561.64,-37768.2,-5279.26,µm,Surface,Position,1,150
3526.19,-37739.8,-5266.82,µm,Surface,Position,1,151
3566.97,-37776.8,-5226.73,µm,Surface,Position,1,152
3587.46,-37880.1,-5161.92,µm,Surface,Position,1,153
3569.08,-37845.7,-5175.74,µm,Surface,Position,1,154
3568.91,-37863.6,-5170.76,µm,Surface,Position,1,155
3613.68,-37833.2,-5192.68,µm,Surface,Position,1,156
3635.14,-37896.5,-5281.59,µm,Surface,Position,1,157
3541.58,-37821.7,-5172.98,µm,Surface,Position,1,158
3616.14,-37875.8,-5284.05,µm,Surface,Position,1,159
3535.82,-37793.6,-5270.96,µm,Surface,Position,1,160
3595.42,-37850.3,-5281.79,µm,Surface,Position,1,161
3559.18,-37821.6,-5234.11,µm,Surface,Position,1,162
3608.86,-37873.2,-5225.55,µm,Surface,Position,1,163
3622.96,-37905.3,-5179.99,µm,Surface,Position,1,164
3532.14,-37782.2,-5260.1,µm,Surface,Position,1,165
3574.7,-37822.4,-5283.59,µm,Surface,Position,1,166
3570.52,-37827.9,-5238.6,µm,Surface,Position,1,167
3589.38,-37833.6,-5274.69,µm,Surface,Position,1,168
3574.46,-37854.2,-5185.58,µm,Surface,Position,1,169
3659.62,-37897.1,-5277.97,µm,Surface,Position,1,170
3595.39,-37834.9,-5231.39,µm,Surface,Position,1,171
3545.71,-37793.8,-5239.11,µm,Surface,Position,1,172
3541.75,-37770.9,-5276.28,µm,Surface,Position,1,173
3545.96,-37781.7,-5262.15,µm,Surface,Position,1,174
3637.61,-37906.2,-5180.84,µm,Surface,Position,1,175
3525.39,-37901.3,-5250.33,µm,Surface,Position,1,176
3544.11,-37896.5,-5277.81,µm,Surface,Position,1,177
3549.79,-37881.9,-5272.13,µm,Surface,Position,1,178
3526.67,-37881.6,-5263.55,µm,Surface,Position,1,179
3541.81,-37906.2,-5207.69,µm,Surface,Position,1,180
3586.19,-37904.7,-5283.17,µm,Surface,Position,1,181
3544.08,-37860,-5238.46,µm,Surface,Position,1,182
3526.83,-37858,-5205.81,µm,Surface,Position,1,183
3580.41,-37885.3,-5204.21,µm,Surface,Position,1,184
3565.5,-37869.4,-5266.39,µm,Surface,Position,1,185
3527.33,-37837.9,-5228.03,µm,Surface,Position,1,186
3576.16,-37850.7,-5258.78,µm,Surface,Position,1,187
3582.26,-37878,-5219.58,µm,Surface,Position,1,188
3545.4,-37843.5,-5162.21,µm,Surface,Position,1,189
