Volume,Unit,Category,Time,ID
2039.59,µm^3,Surface,1,153
5534.67,µm^3,Surface,1,154
1055.48,µm^3,Surface,1,155
44106.3,µm^3,Surface,1,156
544.93,µm^3,Surface,1,157
3287.64,µm^3,Surface,1,158
200.385,µm^3,Surface,1,159
716.262,µm^3,Surface,1,160
580.358,µm^3,Surface,1,161
2173.89,µm^3,Surface,1,162
2459.82,µm^3,Surface,1,163
730.648,µm^3,Surface,1,164
703.281,µm^3,Surface,1,165
252.51,µm^3,Surface,1,166
910.708,µm^3,Surface,1,167
750.305,µm^3,Surface,1,168
0.025263,µm^3,Surface,1,169
743.945,µm^3,Surface,1,170
3630.79,µm^3,Surface,1,171
1056.33,µm^3,Surface,1,172
1439.47,µm^3,Surface,1,173
546.115,µm^3,Surface,1,174
135.802,µm^3,Surface,1,175
3.04425,µm^3,Surface,1,176
986.094,µm^3,Surface,1,177
2189.45,µm^3,Surface,1,178
205.505,µm^3,Surface,1,179
22.96,µm^3,Surface,1,180
182.184,µm^3,Surface,1,181
1331.33,µm^3,Surface,1,182
446.561,µm^3,Surface,1,183
4450.41,µm^3,Surface,1,184
131.054,µm^3,Surface,1,185
579.988,µm^3,Surface,1,186
1972.02,µm^3,Surface,1,187
30.8016,µm^3,Surface,1,188
1131.92,µm^3,Surface,1,189
