index,as_label,cell_type,cell_id,organ_percentage,x,y,z,hex_color,marker_shape
0,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00739286,0.402734,-0.0588942,#CD8490,sphere
1,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0223814,0.436341,-0.0778201,#CD8490,sphere
2,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0153975,0.441784,-0.0855498,#CD8490,sphere
3,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0311752,0.432379,-0.0637982,#CD8490,sphere
4,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0287178,0.457621,-0.0510199,#CD8490,sphere
5,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0207116,0.432057,-0.02629,#CD8490,sphere
6,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00556233,0.428834,-0.0263068,#CD8490,sphere
7,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0206157,0.478611,-0.0477746,#CD8490,sphere
8,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0241906,0.441598,-0.0269929,#CD8490,sphere
9,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00698544,0.46336,-0.0266139,#CD8490,sphere
10,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0146503,0.404141,-0.0610348,#CD8490,sphere
11,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0252171,0.411892,-0.0449269,#CD8490,sphere
12,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0194949,0.462662,-0.0723128,#CD8490,sphere
13,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0269327,0.420112,-0.0696661,#CD8490,sphere
14,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00686429,0.473785,-0.0254438,#CD8490,sphere
15,right cardiac atrium,Fibroblast,CL:0000057,25.3014,0.0114392,0.431237,-0.0656425,#CD8490,sphere
16,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0201917,0.473133,-0.0544872,#CD8490,sphere
17,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0261865,0.452601,-0.0332505,#CD8490,sphere
18,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00324488,0.456725,-0.0469063,#CD8490,sphere
19,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0255784,0.461785,-0.0457124,#CD8490,sphere
20,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0147078,0.456314,-0.074927,#CD8490,sphere
21,right cardiac atrium,Fibroblast,CL:0000057,25.3014,0.00212864,0.445725,-0.0786338,#CD8490,sphere
22,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0336957,0.444215,-0.0471674,#CD8490,sphere
23,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0181902,0.421786,-0.0316964,#CD8490,sphere
24,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0286394,0.452202,-0.0440991,#CD8490,sphere
25,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0193858,0.468564,-0.0520987,#CD8490,sphere
26,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0143607,0.47698,-0.0369965,#CD8490,sphere
27,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00343367,0.468436,-0.02462,#CD8490,sphere
28,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0214042,0.41067,-0.0366473,#CD8490,sphere
29,right cardiac atrium,Fibroblast,CL:0000057,25.3014,0.00550906,0.420258,-0.085674,#CD8490,sphere
30,right cardiac atrium,Fibroblast,CL:0000057,25.3014,0.000786338,0.443579,-0.0807384,#CD8490,sphere
31,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00907193,0.415299,-0.0349534,#CD8490,sphere
32,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0238283,0.44459,-0.0755898,#CD8490,sphere
33,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0221122,0.416857,-0.0352808,#CD8490,sphere
34,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00574031,0.457836,-0.0176484,#CD8490,sphere
35,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0139184,0.436617,-0.0221054,#CD8490,sphere
36,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.020684,0.414788,-0.0387165,#CD8490,sphere
37,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0130726,0.401673,-0.0489793,#CD8490,sphere
38,right cardiac atrium,Fibroblast,CL:0000057,25.3014,0.000869656,0.449888,-0.071119,#CD8490,sphere
39,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0205178,0.449786,-0.0259926,#CD8490,sphere
40,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0214926,0.471562,-0.0498443,#CD8490,sphere
41,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00402979,0.456003,-0.0600826,#CD8490,sphere
42,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00853345,0.478488,-0.0273232,#CD8490,sphere
43,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0109325,0.423889,-0.0286377,#CD8490,sphere
44,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00372973,0.457344,-0.0584468,#CD8490,sphere
45,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0147804,0.474515,-0.0406945,#CD8490,sphere
46,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.000419226,0.401021,-0.067125,#CD8490,sphere
47,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0105556,0.463868,-0.020745,#CD8490,sphere
48,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00696488,0.461155,-0.0456733,#CD8490,sphere
49,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0261425,0.452194,-0.0691093,#CD8490,sphere
50,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0208661,0.425979,-0.0296233,#CD8490,sphere
51,right cardiac atrium,Fibroblast,CL:0000057,25.3014,0.00879585,0.41064,-0.0664727,#CD8490,sphere
52,right cardiac atrium,Fibroblast,CL:0000057,25.3014,0.00429844,0.403211,-0.0647669,#CD8490,sphere
53,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00987446,0.469484,-0.0234787,#CD8490,sphere
54,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0213941,0.43887,-0.0286815,#CD8490,sphere
55,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00953978,0.409078,-0.0386933,#CD8490,sphere
56,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0132875,0.425216,-0.025562,#CD8490,sphere
57,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0241939,0.463562,-0.0697194,#CD8490,sphere
58,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0166263,0.413606,-0.0406054,#CD8490,sphere
59,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0162778,0.411153,-0.0439916,#CD8490,sphere
60,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0319753,0.434671,-0.0538452,#CD8490,sphere
61,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0096802,0.473072,-0.0323056,#CD8490,sphere
62,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0299662,0.448828,-0.0552828,#CD8490,sphere
63,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0140465,0.405831,-0.0532259,#CD8490,sphere
64,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0305541,0.422415,-0.0565085,#CD8490,sphere
65,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0216943,0.470268,-0.0677001,#CD8490,sphere
66,right cardiac atrium,Fibroblast,CL:0000057,25.3014,0.000562472,0.449235,-0.0714077,#CD8490,sphere
67,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00430232,0.407353,-0.0523852,#CD8490,sphere
68,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0115036,0.460884,-0.0668489,#CD8490,sphere
69,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0323195,0.428657,-0.0391052,#CD8490,sphere
70,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00706966,0.474833,-0.0311829,#CD8490,sphere
71,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0241666,0.425195,-0.0326637,#CD8490,sphere
72,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0281424,0.459202,-0.0649577,#CD8490,sphere
73,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0271069,0.459322,-0.0596405,#CD8490,sphere
74,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0177544,0.446092,-0.0249283,#CD8490,sphere
75,right cardiac atrium,Fibroblast,CL:0000057,25.3014,0.0142079,0.417594,-0.0826628,#CD8490,sphere
76,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00657169,0.456673,-0.0241502,#CD8490,sphere
77,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00275644,0.453766,-0.0597382,#CD8490,sphere
78,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0156324,0.431457,-0.0879542,#CD8490,sphere
79,right cardiac atrium,Fibroblast,CL:0000057,25.3014,0.00857248,0.43846,-0.0736486,#CD8490,sphere
80,right cardiac atrium,Fibroblast,CL:0000057,25.3014,0.0119509,0.422987,-0.0756369,#CD8490,sphere
81,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00883515,0.411365,-0.0373675,#CD8490,sphere
82,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0176163,0.418209,-0.0283928,#CD8490,sphere
83,right cardiac atrium,Fibroblast,CL:0000057,25.3014,0.00966933,0.43462,-0.0745787,#CD8490,sphere
84,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00720985,0.463491,-0.0347904,#CD8490,sphere
85,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00788242,0.405772,-0.0519254,#CD8490,sphere
86,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00716024,0.410369,-0.0369125,#CD8490,sphere
87,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00852757,0.404018,-0.0551421,#CD8490,sphere
88,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0247952,0.439915,-0.0260866,#CD8490,sphere
89,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0181071,0.430865,-0.0223037,#CD8490,sphere
90,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0295236,0.449644,-0.0568349,#CD8490,sphere
91,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00383608,0.452531,-0.0339388,#CD8490,sphere
92,right cardiac atrium,Fibroblast,CL:0000057,25.3014,0.00502238,0.44864,-0.0567329,#CD8490,sphere
93,right cardiac atrium,Fibroblast,CL:0000057,25.3014,0.00212184,0.450574,-0.0602484,#CD8490,sphere
94,right cardiac atrium,Fibroblast,CL:0000057,25.3014,0.00259644,0.42135,-0.0869835,#CD8490,sphere
95,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0163028,0.47137,-0.0638523,#CD8490,sphere
96,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.00159681,0.403206,-0.0748235,#CD8490,sphere
97,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0093719,0.450044,-0.0191672,#CD8490,sphere
98,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0162231,0.41691,-0.0327303,#CD8490,sphere
99,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0222139,0.410423,-0.0682546,#CD8490,sphere
100,right cardiac atrium,Fibroblast,CL:0000057,25.3014,-0.0134575,0.449872,-0.0823881,#CD8490,sphere
101,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0226622,0.410347,-0.0508939,#8B68EB,sphere
102,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0108197,0.470522,-0.03948,#8B68EB,sphere
103,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,0.0102675,0.42937,-0.0762076,#8B68EB,sphere
104,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.000618976,0.425817,-0.0921468,#8B68EB,sphere
105,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.00440473,0.458121,-0.048209,#8B68EB,sphere
106,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,0.00904365,0.411057,-0.0763531,#8B68EB,sphere
107,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0174824,0.472105,-0.0500393,#8B68EB,sphere
108,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0148293,0.405898,-0.0569804,#8B68EB,sphere
109,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0288448,0.453949,-0.0512497,#8B68EB,sphere
110,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.00558585,0.457042,-0.0603357,#8B68EB,sphere
111,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0101548,0.453817,-0.0222005,#8B68EB,sphere
112,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.000611219,0.404353,-0.0498764,#8B68EB,sphere
113,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.00418407,0.456681,-0.0629265,#8B68EB,sphere
114,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0169073,0.466704,-0.0292047,#8B68EB,sphere
115,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0146248,0.407527,-0.0496069,#8B68EB,sphere
116,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0154543,0.407615,-0.0733602,#8B68EB,sphere
117,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,0.00935303,0.410602,-0.071168,#8B68EB,sphere
118,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0324161,0.437568,-0.0478422,#8B68EB,sphere
119,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0182011,0.476423,-0.0504765,#8B68EB,sphere
120,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,0.00552671,0.44662,-0.0609587,#8B68EB,sphere
121,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0275644,0.465031,-0.0560426,#8B68EB,sphere
122,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0170484,0.454889,-0.0251838,#8B68EB,sphere
123,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.00404952,0.401774,-0.0671837,#8B68EB,sphere
124,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,0.0100638,0.410077,-0.0668212,#8B68EB,sphere
125,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0137591,0.40795,-0.0415136,#8B68EB,sphere
126,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,0.0126172,0.420029,-0.0767903,#8B68EB,sphere
127,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0275509,0.4268,-0.070009,#8B68EB,sphere
128,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0213854,0.434089,-0.0233296,#8B68EB,sphere
129,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0277682,0.454741,-0.0366303,#8B68EB,sphere
130,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0004019,0.454214,-0.048175,#8B68EB,sphere
131,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0330013,0.428148,-0.0478786,#8B68EB,sphere
132,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0257369,0.432568,-0.0265286,#8B68EB,sphere
133,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0249334,0.46344,-0.0387655,#8B68EB,sphere
134,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0257488,0.468068,-0.0510392,#8B68EB,sphere
135,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.00271525,0.401506,-0.0498962,#8B68EB,sphere
136,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0221597,0.419674,-0.0281194,#8B68EB,sphere
137,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,0.000197591,0.404765,-0.0489292,#8B68EB,sphere
138,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0313658,0.428622,-0.0364577,#8B68EB,sphere
139,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,0.00681788,0.404515,-0.0698443,#8B68EB,sphere
140,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0131592,0.461428,-0.0218277,#8B68EB,sphere
141,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,0.00491066,0.420318,-0.0856709,#8B68EB,sphere
142,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,0.00339442,0.402368,-0.0695885,#8B68EB,sphere
143,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.00466312,0.404619,-0.0515308,#8B68EB,sphere
144,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0196808,0.47514,-0.0609128,#8B68EB,sphere
145,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0173618,0.405011,-0.0518908,#8B68EB,sphere
146,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.000853531,0.455174,-0.0535872,#8B68EB,sphere
147,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0131529,0.421018,-0.0262339,#8B68EB,sphere
148,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0255972,0.414411,-0.0463542,#8B68EB,sphere
149,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0186035,0.473444,-0.061564,#8B68EB,sphere
150,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0227457,0.477081,-0.0494096,#8B68EB,sphere
151,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,0.001382,0.436334,-0.0866398,#8B68EB,sphere
152,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0100606,0.425527,-0.0922892,#8B68EB,sphere
153,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.00403107,0.452633,-0.0728436,#8B68EB,sphere
154,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0190998,0.427982,-0.022622,#8B68EB,sphere
155,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.00637109,0.399599,-0.0527118,#8B68EB,sphere
156,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0091471,0.408811,-0.0506571,#8B68EB,sphere
157,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0215303,0.456252,-0.0732692,#8B68EB,sphere
158,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0180533,0.416236,-0.0322689,#8B68EB,sphere
159,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0165506,0.478228,-0.0395154,#8B68EB,sphere
160,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0192452,0.427659,-0.0280439,#8B68EB,sphere
161,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0222112,0.449588,-0.0253551,#8B68EB,sphere
162,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,0.000154111,0.424316,-0.0914469,#8B68EB,sphere
163,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0196003,0.448853,-0.0250521,#8B68EB,sphere
164,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.00291162,0.407215,-0.0493644,#8B68EB,sphere
165,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0123963,0.458969,-0.0716331,#8B68EB,sphere
166,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.00943103,0.447753,-0.0231125,#8B68EB,sphere
167,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0085012,0.464266,-0.0503259,#8B68EB,sphere
168,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0192415,0.409194,-0.0367581,#8B68EB,sphere
169,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.000914716,0.451317,-0.0684026,#8B68EB,sphere
170,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0201344,0.468267,-0.0490429,#8B68EB,sphere
171,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,0.00119352,0.404925,-0.0571172,#8B68EB,sphere
172,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0229814,0.428511,-0.0275176,#8B68EB,sphere
173,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.0102368,0.473189,-0.0299098,#8B68EB,sphere
174,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,0.00522024,0.405262,-0.0712346,#8B68EB,sphere
175,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,0.00454413,0.448621,-0.0451879,#8B68EB,sphere
176,right cardiac atrium,Atrial Cardiomyocyte,CL:0002129,2.1202,-0.00604678,0.404917,-0.0482993,#8B68EB,sphere
177,right cardiac atrium,Capillary Endothelial,CL:0002144,8.3501,-0.0133846,0.429663,-0.0882225,#F4A42C,sphere
178,right cardiac atrium,Capillary Endothelial,CL:0002144,8.3501,-0.00556218,0.457004,-0.0257023,#F4A42C,sphere
179,right cardiac atrium,Capillary Endothelial,CL:0002144,8.3501,0.0103982,0.430492,-0.0717248,#F4A42C,sphere
180,right cardiac atrium,Capillary Endothelial,CL:0002144,8.3501,-0.00454316,0.458354,-0.0423127,#F4A42C,sphere
181,right cardiac atrium,Capillary Endothelial,CL:0002144,8.3501,-0.00595773,0.405159,-0.0717617,#F4A42C,sphere
182,right cardiac atrium,Capillary Endothelial,CL:0002144,8.3501,-0.0204559,0.408686,-0.0432944,#F4A42C,sphere
183,right cardiac atrium,Capillary Endothelial,CL:0002144,8.3501,0.0108098,0.426365,-0.0841668,#F4A42C,sphere
184,right cardiac atrium,Capillary Endothelial,CL:0002144,8.3501,-0.0185599,0.474382,-0.0623964,#F4A42C,sphere
185,right cardiac atrium,Capillary Endothelial,CL:0002144,8.3501,-0.0198925,0.472443,-0.059109,#F4A42C,sphere
186,right cardiac atrium,Capillary Endothelial,CL:0002144,8.3501,-0.00788544,0.459407,-0.0325069,#F4A42C,sphere
187,right cardiac atrium,Capillary Endothelial,CL:0002144,8.3501,-0.0138889,0.431813,-0.0232672,#F4A42C,sphere
