index,as_label,cell_type,cell_id,organ_percentage,cell_count,x,y,z,hex_color,marker_shape
0,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.00565771,0.459917,-0.0545415,#70A5A8,sphere
1,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.00827856,0.40643,-0.0436162,#70A5A8,sphere
2,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0225574,0.409312,-0.0452633,#70A5A8,sphere
3,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.00500119,0.437091,-0.0247632,#70A5A8,sphere
4,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,0.00946614,0.426417,-0.0820391,#70A5A8,sphere
5,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0194776,0.470251,-0.0499795,#70A5A8,sphere
6,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,0.00307683,0.449066,-0.0439768,#70A5A8,sphere
7,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0227203,0.413515,-0.0414444,#70A5A8,sphere
8,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0220966,0.470832,-0.0373009,#70A5A8,sphere
9,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0241091,0.46731,-0.0705164,#70A5A8,sphere
10,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0117007,0.457674,-0.0241308,#70A5A8,sphere
11,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0128784,0.435168,-0.0224195,#70A5A8,sphere
12,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0108907,0.465581,-0.0402847,#70A5A8,sphere
13,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.00621632,0.430714,-0.0923225,#70A5A8,sphere
14,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.000834994,0.446032,-0.0828745,#70A5A8,sphere
15,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.00984896,0.402376,-0.0534673,#70A5A8,sphere
16,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0331765,0.429499,-0.0531065,#70A5A8,sphere
17,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.00227653,0.45331,-0.0343499,#70A5A8,sphere
18,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.021994,0.413319,-0.0399885,#70A5A8,sphere
19,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,0.0119247,0.42421,-0.0750113,#70A5A8,sphere
20,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.021653,0.447202,-0.0742749,#70A5A8,sphere
21,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0236894,0.462683,-0.0503535,#70A5A8,sphere
22,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0148933,0.454803,-0.023655,#70A5A8,sphere
23,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,0.00789287,0.406121,-0.0635705,#70A5A8,sphere
24,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0244993,0.422571,-0.0720669,#70A5A8,sphere
25,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,0.0128197,0.428466,-0.0819621,#70A5A8,sphere
26,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,0.00459126,0.429707,-0.0840478,#70A5A8,sphere
27,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.00259687,0.452755,-0.0504329,#70A5A8,sphere
28,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.00288692,0.453179,-0.0328059,#70A5A8,sphere
29,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.00933692,0.453907,-0.0220006,#70A5A8,sphere
30,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.016182,0.429061,-0.0243682,#70A5A8,sphere
31,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0211012,0.471339,-0.0502121,#70A5A8,sphere
32,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,0.0127253,0.420763,-0.0769762,#70A5A8,sphere
33,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0193205,0.442036,-0.0229975,#70A5A8,sphere
34,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0263872,0.433715,-0.0732191,#70A5A8,sphere
35,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0109052,0.471455,-0.0281248,#70A5A8,sphere
36,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,0.00698467,0.407276,-0.0788661,#70A5A8,sphere
37,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.029492,0.431621,-0.0336629,#70A5A8,sphere
38,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0257278,0.41459,-0.0464707,#70A5A8,sphere
39,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0241808,0.472234,-0.0441643,#70A5A8,sphere
40,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.00912206,0.406566,-0.0489811,#70A5A8,sphere
41,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.000955631,0.408544,-0.0456685,#70A5A8,sphere
42,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,0.00359907,0.447646,-0.0727419,#70A5A8,sphere
43,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,0.00241767,0.443689,-0.0806262,#70A5A8,sphere
44,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,0.0113916,0.416342,-0.0705579,#70A5A8,sphere
45,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0025957,0.462758,-0.0175153,#70A5A8,sphere
46,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0194383,0.423342,-0.029389,#70A5A8,sphere
47,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.022564,0.410827,-0.0440684,#70A5A8,sphere
48,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.017616,0.471866,-0.0466346,#70A5A8,sphere
49,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0222019,0.432902,-0.0244518,#70A5A8,sphere
50,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.00747605,0.412173,-0.0322051,#70A5A8,sphere
51,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0295608,0.418159,-0.0446212,#70A5A8,sphere
52,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0054057,0.466057,-0.0317449,#70A5A8,sphere
53,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0335949,0.439849,-0.0425118,#70A5A8,sphere
54,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.00609135,0.409354,-0.0497157,#70A5A8,sphere
55,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.029551,0.459243,-0.0568054,#70A5A8,sphere
56,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0236514,0.43847,-0.0282458,#70A5A8,sphere
57,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0136726,0.456702,-0.0730703,#70A5A8,sphere
58,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0344608,0.435268,-0.045201,#70A5A8,sphere
59,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0265352,0.45693,-0.0477532,#70A5A8,sphere
60,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0238694,0.431552,-0.0766649,#70A5A8,sphere
61,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0253028,0.465528,-0.0457252,#70A5A8,sphere
62,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0219506,0.476932,-0.0467074,#70A5A8,sphere
63,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0338549,0.42987,-0.0538025,#70A5A8,sphere
64,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.00435751,0.451553,-0.0714583,#70A5A8,sphere
65,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0156332,0.470424,-0.0484322,#70A5A8,sphere
66,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.00644064,0.463609,-0.0322991,#70A5A8,sphere
67,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.031459,0.433544,-0.061911,#70A5A8,sphere
68,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0258923,0.445587,-0.027953,#70A5A8,sphere
69,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.00619768,0.459094,-0.0571494,#70A5A8,sphere
70,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0163101,0.466836,-0.0579333,#70A5A8,sphere
71,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0221593,0.423701,-0.0300879,#70A5A8,sphere
72,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,-0.0032808,0.398966,-0.0647883,#70A5A8,sphere
73,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,0.00139377,0.40827,-0.0487139,#70A5A8,sphere
74,right cardiac atrium,fibroblast,CL:0000057,19.8988,145329,0.00879906,0.429943,-0.0794112,#70A5A8,sphere
