index,as_label,cell_label_granular,cell_id_granular,cell_label_supertree,cell_id_supertree,organ_percentage,cell_count,x,y,z,hex_color,marker_shape
0,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0356488,0.491191,0.0311602,#70A5A8,sphere
1,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0271216,0.445658,0.0268501,#70A5A8,sphere
2,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.031297,0.452263,0.0228415,#70A5A8,sphere
3,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.00926063,0.497317,0.0539823,#70A5A8,sphere
4,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.01746,0.467427,0.00604715,#70A5A8,sphere
5,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.00972237,0.50941,0.0502835,#70A5A8,sphere
6,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.00553645,0.476291,0.00842425,#70A5A8,sphere
7,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0110932,0.455607,0.00515044,#70A5A8,sphere
8,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0314208,0.453323,0.0240827,#70A5A8,sphere
9,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.00462856,0.495056,0.0270434,#70A5A8,sphere
10,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0370999,0.449817,0.042743,#70A5A8,sphere
11,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.028049,0.508896,0.0335139,#70A5A8,sphere
12,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0362276,0.451535,0.0332303,#70A5A8,sphere
13,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0305212,0.482424,0.0141424,#70A5A8,sphere
14,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0233661,0.468054,0.0068082,#70A5A8,sphere
15,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0260163,0.490093,0.057136,#70A5A8,sphere
16,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.00590976,0.512428,0.0502525,#70A5A8,sphere
17,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,0.00402572,0.458474,0.0194094,#70A5A8,sphere
18,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0216721,0.461841,0.00664936,#70A5A8,sphere
19,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,0.00184795,0.459944,0.0161201,#70A5A8,sphere
20,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0112678,0.436488,0.0281613,#70A5A8,sphere
21,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0334692,0.450127,0.0605446,#70A5A8,sphere
22,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0294221,0.47816,0.0105233,#70A5A8,sphere
23,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,0.00420523,0.451937,0.0205969,#70A5A8,sphere
24,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0373654,0.488585,0.0448768,#70A5A8,sphere
25,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.00018261,0.45251,0.0162691,#70A5A8,sphere
26,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.00836802,0.461579,0.00472922,#70A5A8,sphere
27,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0284312,0.464238,0.0630007,#70A5A8,sphere
28,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0338758,0.449487,0.033081,#70A5A8,sphere
29,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0207391,0.484069,0.0603046,#70A5A8,sphere
30,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0364829,0.47838,0.0567765,#70A5A8,sphere
31,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.00585141,0.490026,0.0426012,#70A5A8,sphere
32,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0291954,0.483883,0.0140986,#70A5A8,sphere
33,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0250913,0.447595,0.0558426,#70A5A8,sphere
34,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.032375,0.491295,0.0297285,#70A5A8,sphere
35,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0349748,0.494229,0.0275396,#70A5A8,sphere
36,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.00290679,0.48655,0.0404338,#70A5A8,sphere
37,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.034887,0.463277,0.0223383,#70A5A8,sphere
38,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0385696,0.489401,0.0352824,#70A5A8,sphere
39,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0128291,0.509587,0.0453068,#70A5A8,sphere
40,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0255754,0.462107,0.0607922,#70A5A8,sphere
41,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0373934,0.475535,0.0251803,#70A5A8,sphere
42,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.00605087,0.495151,0.0365884,#70A5A8,sphere
43,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0381027,0.489175,0.0348875,#70A5A8,sphere
44,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0262226,0.498445,0.0314926,#70A5A8,sphere
45,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0360944,0.448511,0.0441164,#70A5A8,sphere
46,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0222638,0.503061,0.0496597,#70A5A8,sphere
47,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.00605272,0.451757,0.00950602,#70A5A8,sphere
48,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0240399,0.50898,0.0435305,#70A5A8,sphere
49,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0295714,0.445515,0.0301653,#70A5A8,sphere
50,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0278482,0.484257,0.0599638,#70A5A8,sphere
51,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0153931,0.510829,0.015715,#70A5A8,sphere
52,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0147791,0.513388,0.0151901,#70A5A8,sphere
53,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0257079,0.489509,0.0103301,#70A5A8,sphere
54,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0351324,0.479303,0.0172761,#70A5A8,sphere
55,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0291934,0.464682,0.0121126,#70A5A8,sphere
56,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0275413,0.508962,0.0349183,#70A5A8,sphere
57,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0348034,0.484182,0.020756,#70A5A8,sphere
58,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0166035,0.485969,0.00770639,#70A5A8,sphere
59,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.00997164,0.512599,0.0483743,#70A5A8,sphere
60,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0147273,0.505262,0.0219256,#70A5A8,sphere
61,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0332344,0.458945,0.0621514,#70A5A8,sphere
62,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0184715,0.508264,0.0340653,#70A5A8,sphere
63,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.00911519,0.503293,0.023607,#70A5A8,sphere
64,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.00691016,0.505472,0.0461809,#70A5A8,sphere
65,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0407945,0.474326,0.0497181,#70A5A8,sphere
66,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0193522,0.517215,0.0368239,#70A5A8,sphere
67,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0391892,0.488816,0.0411931,#70A5A8,sphere
68,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,0.00216571,0.466612,0.0159785,#70A5A8,sphere
69,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.00659526,0.498627,0.0355559,#70A5A8,sphere
70,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0380425,0.490635,0.0419482,#70A5A8,sphere
71,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-3.77165e-05,0.448479,0.0158955,#70A5A8,sphere
72,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0315268,0.480289,0.0573034,#70A5A8,sphere
73,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0387128,0.459238,0.0415854,#70A5A8,sphere
74,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,0.00659041,0.473027,0.0273571,#70A5A8,sphere
75,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0168216,0.520686,0.0289933,#70A5A8,sphere
76,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.00430425,0.475718,0.00886433,#70A5A8,sphere
77,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.028485,0.464466,0.0644695,#70A5A8,sphere
78,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0139565,0.472963,0.00634999,#70A5A8,sphere
79,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0341797,0.485593,0.0237492,#70A5A8,sphere
80,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.022638,0.438538,0.0326844,#70A5A8,sphere
81,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0312877,0.490473,0.0289902,#70A5A8,sphere
82,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.01885,0.506672,0.0120273,#70A5A8,sphere
83,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0390286,0.457605,0.0382177,#70A5A8,sphere
84,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0286864,0.442801,0.0332329,#70A5A8,sphere
85,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.029823,0.47404,0.0592298,#70A5A8,sphere
86,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.028816,0.495125,0.0305443,#70A5A8,sphere
87,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,21.1703,430973,-0.0115101,0.434514,0.0394729,#70A5A8,sphere
