index,as_label,cell_type,cell_id,organ_percentage,x,y,z,hex_color,marker_shape
0,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0242488,0.416273,-0.0682455,#9192BA,sphere
1,right cardiac atrium,FB2,CL:0000057,1.0186,-0.00483712,0.455964,-0.0317838,#9192BA,sphere
2,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0287911,0.452292,-0.0474729,#9192BA,sphere
3,right cardiac atrium,FB2,CL:0000057,1.0186,-0.00899853,0.406031,-0.0508137,#9192BA,sphere
4,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0200892,0.412767,-0.0393976,#9192BA,sphere
5,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0222937,0.41111,-0.0626734,#9192BA,sphere
6,right cardiac atrium,FB2,CL:0000057,1.0186,-0.00613153,0.408586,-0.0404706,#9192BA,sphere
7,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0111831,0.446864,-0.0853861,#9192BA,sphere
8,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0330828,0.437377,-0.0495898,#9192BA,sphere
9,right cardiac atrium,FB2,CL:0000057,1.0186,-0.004046,0.464238,-0.0263243,#9192BA,sphere
10,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0222023,0.466346,-0.053597,#9192BA,sphere
11,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0151916,0.449684,-0.0218482,#9192BA,sphere
12,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0158212,0.406924,-0.0638964,#9192BA,sphere
13,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0242302,0.473048,-0.0531754,#9192BA,sphere
14,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0299764,0.425438,-0.0628791,#9192BA,sphere
15,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0177779,0.442284,-0.0813146,#9192BA,sphere
16,right cardiac atrium,FB2,CL:0000057,1.0186,-0.00879362,0.414642,-0.0303917,#9192BA,sphere
17,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0333624,0.431292,-0.0550421,#9192BA,sphere
18,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0149501,0.448557,-0.0228692,#9192BA,sphere
19,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0090365,0.465421,-0.0207773,#9192BA,sphere
20,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0130392,0.421711,-0.0282642,#9192BA,sphere
21,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0320578,0.441442,-0.0571647,#9192BA,sphere
22,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0317955,0.441557,-0.0410103,#9192BA,sphere
23,right cardiac atrium,FB2,CL:0000057,1.0186,0.00792837,0.415906,-0.0869101,#9192BA,sphere
24,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0146699,0.420952,-0.0298519,#9192BA,sphere
25,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0141911,0.466401,-0.0497966,#9192BA,sphere
26,right cardiac atrium,FB2,CL:0000057,1.0186,0.00193776,0.449177,-0.0718964,#9192BA,sphere
27,right cardiac atrium,FB2,CL:0000057,1.0186,0.0114056,0.416101,-0.0822805,#9192BA,sphere
28,right cardiac atrium,FB2,CL:0000057,1.0186,-0.00789097,0.46556,-0.0392034,#9192BA,sphere
29,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0270746,0.417851,-0.0657703,#9192BA,sphere
30,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0140497,0.421387,-0.0309126,#9192BA,sphere
31,right cardiac atrium,FB2,CL:0000057,1.0186,-0.019192,0.410766,-0.0711284,#9192BA,sphere
32,right cardiac atrium,FB2,CL:0000057,1.0186,-0.028076,0.46385,-0.0620687,#9192BA,sphere
33,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0310028,0.447138,-0.0455982,#9192BA,sphere
34,right cardiac atrium,FB2,CL:0000057,1.0186,-0.00963358,0.400688,-0.0518178,#9192BA,sphere
35,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0270227,0.415589,-0.0484493,#9192BA,sphere
36,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0166783,0.443726,-0.0844842,#9192BA,sphere
37,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0136231,0.468228,-0.0484319,#9192BA,sphere
38,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0102149,0.475979,-0.0304308,#9192BA,sphere
39,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0234762,0.41063,-0.0513289,#9192BA,sphere
40,right cardiac atrium,FB2,CL:0000057,1.0186,-0.00757644,0.470489,-0.0236791,#9192BA,sphere
41,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0208934,0.462143,-0.0719787,#9192BA,sphere
42,right cardiac atrium,FB2,CL:0000057,1.0186,0.0109344,0.429067,-0.0743793,#9192BA,sphere
43,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0301131,0.45535,-0.0552467,#9192BA,sphere
44,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0151133,0.465529,-0.0264579,#9192BA,sphere
45,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0170575,0.432007,-0.0271773,#9192BA,sphere
46,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0223897,0.447758,-0.0274177,#9192BA,sphere
47,right cardiac atrium,FB2,CL:0000057,1.0186,-0.00723957,0.45969,-0.043165,#9192BA,sphere
48,right cardiac atrium,FB2,CL:0000057,1.0186,-0.00483127,0.399358,-0.0545253,#9192BA,sphere
49,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0199721,0.414825,-0.0304189,#9192BA,sphere
50,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0200216,0.405847,-0.0421755,#9192BA,sphere
51,right cardiac atrium,FB2,CL:0000057,1.0186,-0.00563129,0.41384,-0.0380203,#9192BA,sphere
52,right cardiac atrium,FB2,CL:0000057,1.0186,-0.00480699,0.454606,-0.0653,#9192BA,sphere
53,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0185477,0.440949,-0.0269309,#9192BA,sphere
54,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0184919,0.407417,-0.0407146,#9192BA,sphere
55,right cardiac atrium,FB2,CL:0000057,1.0186,-0.007018,0.413765,-0.0318627,#9192BA,sphere
56,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0238444,0.47608,-0.0517987,#9192BA,sphere
57,right cardiac atrium,FB2,CL:0000057,1.0186,-0.00155663,0.436343,-0.0264839,#9192BA,sphere
58,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0163431,0.469183,-0.0604076,#9192BA,sphere
59,right cardiac atrium,FB2,CL:0000057,1.0186,-0.00802487,0.473614,-0.0245388,#9192BA,sphere
60,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0110204,0.454616,-0.0235963,#9192BA,sphere
61,right cardiac atrium,FB2,CL:0000057,1.0186,0.00975803,0.425113,-0.0817398,#9192BA,sphere
62,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0253649,0.448715,-0.030758,#9192BA,sphere
63,right cardiac atrium,FB2,CL:0000057,1.0186,-0.00860483,0.46168,-0.0318904,#9192BA,sphere
64,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0316678,0.42289,-0.046534,#9192BA,sphere
65,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0291037,0.447884,-0.0575254,#9192BA,sphere
66,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0109212,0.408798,-0.036723,#9192BA,sphere
67,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0157224,0.419059,-0.0320706,#9192BA,sphere
68,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0242304,0.422245,-0.0756742,#9192BA,sphere
69,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0164494,0.434678,-0.0255183,#9192BA,sphere
70,right cardiac atrium,FB2,CL:0000057,1.0186,-0.011657,0.446511,-0.0858309,#9192BA,sphere
71,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0325731,0.434863,-0.0426586,#9192BA,sphere
72,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0277381,0.442848,-0.0303755,#9192BA,sphere
73,right cardiac atrium,FB2,CL:0000057,1.0186,0.00439211,0.415057,-0.0878128,#9192BA,sphere
74,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0254417,0.453094,-0.0704209,#9192BA,sphere
75,right cardiac atrium,FB2,CL:0000057,1.0186,-0.00401159,0.443527,-0.0263631,#9192BA,sphere
76,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0110081,0.402447,-0.0449156,#9192BA,sphere
77,right cardiac atrium,FB2,CL:0000057,1.0186,0.00522827,0.425392,-0.0845776,#9192BA,sphere
78,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0113743,0.460421,-0.0652928,#9192BA,sphere
79,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0243684,0.460294,-0.0377678,#9192BA,sphere
80,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0204164,0.463734,-0.0714426,#9192BA,sphere
81,right cardiac atrium,FB2,CL:0000057,1.0186,-0.0164442,0.409846,-0.0461567,#9192BA,sphere
82,right cardiac atrium,FB2,CL:0000057,1.0186,0.0114058,0.427315,-0.0659792,#9192BA,sphere
