index,as_label,cell_label_granular,cell_id_granular,cell_label_supertree,cell_id_supertree,organ_percentage,cell_count,x,y,z,hex_color,marker_shape
0,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,10.8938,48037,-0.0319823,0.439443,-0.0536381,#70A5A8,sphere
1,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,10.8938,48037,-0.000855785,0.402398,-0.0512906,#70A5A8,sphere
2,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,10.8938,48037,-0.0053298,0.406205,-0.048459,#70A5A8,sphere
3,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,10.8938,48037,-0.00551226,0.402073,-0.054448,#70A5A8,sphere
4,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,10.8938,48037,-0.0160565,0.408216,-0.0495274,#70A5A8,sphere
5,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,10.8938,48037,-0.0223138,0.424181,-0.0764902,#70A5A8,sphere
6,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,10.8938,48037,-0.021701,0.47538,-0.0562995,#70A5A8,sphere
7,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,10.8938,48037,-0.011892,0.431474,-0.0901265,#70A5A8,sphere
8,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,10.8938,48037,-0.0188201,0.437437,-0.024145,#70A5A8,sphere
9,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,10.8938,48037,0.00237548,0.410765,-0.0797641,#70A5A8,sphere
10,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,10.8938,48037,-0.00354106,0.407971,-0.041027,#70A5A8,sphere
11,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,10.8938,48037,-0.0144429,0.456166,-0.0251915,#70A5A8,sphere
12,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,10.8938,48037,-0.0188665,0.429009,-0.0229901,#70A5A8,sphere
13,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,10.8938,48037,-0.0317048,0.424775,-0.0550583,#70A5A8,sphere
14,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,10.8938,48037,0.00696991,0.405236,-0.0667072,#70A5A8,sphere
15,right cardiac atrium,fibroblast,CL:0000057,connective tissue cell,CL:0002320,10.8938,48037,-0.00461921,0.422661,-0.0272575,#70A5A8,sphere
