index,as_label,cell_type,cell_id,organ_percentage,x,y,z,hex_color,marker_shape
0,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0188127,0.506083,0.0353778,#CD8490,sphere
1,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0244365,0.461716,0.00691088,#CD8490,sphere
2,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.00576018,0.491349,0.0407286,#CD8490,sphere
3,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0345885,0.459607,0.0248201,#CD8490,sphere
4,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0108337,0.508877,0.0411407,#CD8490,sphere
5,right cardiac atrium,Fibroblast,CL:0000057,25.6137,0.00272302,0.471131,0.0203056,#CD8490,sphere
6,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0317605,0.464331,0.0177699,#CD8490,sphere
7,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0368971,0.491576,0.0281442,#CD8490,sphere
8,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0162899,0.489272,0.057591,#CD8490,sphere
9,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0184864,0.481545,0.0563628,#CD8490,sphere
10,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0153907,0.506967,0.0282348,#CD8490,sphere
11,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0137877,0.519819,0.0182332,#CD8490,sphere
12,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0346851,0.454271,0.0239864,#CD8490,sphere
13,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0279035,0.439624,0.0465722,#CD8490,sphere
14,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-7.03729e-05,0.440177,0.0270574,#CD8490,sphere
15,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.00660286,0.498316,0.0391105,#CD8490,sphere
16,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.00115542,0.444676,0.0177637,#CD8490,sphere
17,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0162721,0.466933,0.00570747,#CD8490,sphere
18,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.00990504,0.495389,0.0549214,#CD8490,sphere
19,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.006313,0.490094,0.0424064,#CD8490,sphere
20,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0251308,0.503646,0.0313491,#CD8490,sphere
21,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0207555,0.506902,0.0490097,#CD8490,sphere
22,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.00980245,0.485306,0.00950766,#CD8490,sphere
23,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0283744,0.506044,0.0331954,#CD8490,sphere
24,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0169486,0.51435,0.0251147,#CD8490,sphere
25,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0130274,0.51524,0.0208551,#CD8490,sphere
26,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.00168852,0.440455,0.0308531,#CD8490,sphere
27,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0395668,0.481025,0.0472725,#CD8490,sphere
28,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0329457,0.477694,0.0609327,#CD8490,sphere
29,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0334109,0.497903,0.0280829,#CD8490,sphere
30,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0381402,0.456496,0.0344456,#CD8490,sphere
31,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0226199,0.478778,0.058516,#CD8490,sphere
32,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0142668,0.489399,0.057178,#CD8490,sphere
33,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0166916,0.438202,0.0269378,#CD8490,sphere
34,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0108323,0.508492,0.043442,#CD8490,sphere
35,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.00564452,0.451812,0.0157056,#CD8490,sphere
36,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0166954,0.48021,0.0579335,#CD8490,sphere
37,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0242774,0.441556,0.0586235,#CD8490,sphere
38,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0219821,0.507812,0.0272208,#CD8490,sphere
39,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0249652,0.504081,0.0484905,#CD8490,sphere
40,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.00849592,0.436725,0.031405,#CD8490,sphere
41,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0182306,0.436136,0.0371252,#CD8490,sphere
42,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.037234,0.466658,0.0235365,#CD8490,sphere
43,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0374091,0.453828,0.0357214,#CD8490,sphere
44,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0144347,0.48461,0.055933,#CD8490,sphere
45,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0260191,0.462803,0.0619536,#CD8490,sphere
46,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0284805,0.503884,0.0434741,#CD8490,sphere
47,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0208058,0.472698,0.0603496,#CD8490,sphere
48,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0350261,0.465711,0.060629,#CD8490,sphere
49,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.00839216,0.511524,0.0510065,#CD8490,sphere
50,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.037718,0.486299,0.0304337,#CD8490,sphere
51,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0242185,0.442796,0.0277503,#CD8490,sphere
52,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0225428,0.476704,0.00745706,#CD8490,sphere
53,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.00514442,0.445782,0.0161784,#CD8490,sphere
54,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0062563,0.496095,0.0399086,#CD8490,sphere
55,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.041192,0.470669,0.0482843,#CD8490,sphere
56,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0161825,0.511589,0.02727,#CD8490,sphere
57,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0393137,0.468028,0.0331024,#CD8490,sphere
58,right cardiac atrium,Fibroblast,CL:0000057,25.6137,0.000175247,0.464502,0.0118185,#CD8490,sphere
59,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.024456,0.509027,0.043299,#CD8490,sphere
60,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0292149,0.466851,0.0121609,#CD8490,sphere
61,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0368614,0.452748,0.0558395,#CD8490,sphere
62,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0282074,0.447672,0.027321,#CD8490,sphere
63,right cardiac atrium,Fibroblast,CL:0000057,25.6137,0.0060505,0.462342,0.0246014,#CD8490,sphere
64,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.00416633,0.461665,0.00567487,#CD8490,sphere
65,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0178927,0.522541,0.0328572,#CD8490,sphere
66,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0375836,0.489165,0.0335636,#CD8490,sphere
67,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0287922,0.460848,0.0645119,#CD8490,sphere
68,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.00220862,0.44202,0.0192496,#CD8490,sphere
69,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.000827851,0.467189,0.0111845,#CD8490,sphere
70,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0152556,0.514591,0.0411789,#CD8490,sphere
71,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0239042,0.440903,0.0287424,#CD8490,sphere
72,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.00042722,0.482095,0.0151701,#CD8490,sphere
73,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0338908,0.457127,0.0220234,#CD8490,sphere
74,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0288312,0.441775,0.0595675,#CD8490,sphere
75,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0164503,0.480778,0.0566356,#CD8490,sphere
76,right cardiac atrium,Fibroblast,CL:0000057,25.6137,-0.0207369,0.510138,0.0289347,#CD8490,sphere
