x,y,Cell Type
2644.20452,2488.70748,b cell
2245.27158,1104.70834,b cell
2548.71726,1945.6001,b cell
2497.76556,1567.42526,b cell
2814.42094,2412.84606,b cell
1865.58706,29.43876,b cell
2028.6325,1250.39246,b cell
2763.84666,2934.81792,b cell
2432.4719,1413.81532,b cell
2088.26486,956.38228,b cell
2095.43584,981.292,b cell
2144.12302,782.01424,b cell
2630.6174,1920.31296,b cell
2447.94612,1430.0443799999998,b cell
2121.85524,1114.89868,b cell
2649.4884,2306.0362,b cell
2228.28768,1254.9215,b cell
2924.62758,2911.41788,b cell
2550.98178,1556.4800799999998,b cell
2728.7466,2663.83036,b cell
2905.00174,2891.41462,b cell
2190.54568,1237.18276,b cell
2931.04372,2916.70176,b cell
2854.05004,3272.2314,b cell
2632.12708,1913.14198,b cell
2131.66816,1311.91192,b cell
2922.74048,3414.89616,b cell
2781.96282,2704.96914,b cell
2032.02928,853.3466199999999,b cell
2161.10692,750.3109599999999,b cell
2883.86622,3072.95364,b cell
1998.06148,878.2563399999999,b cell
2407.9396,1473.07026,b cell
2857.44682,2573.24956,b cell
2707.9885,3040.87294,b cell
2770.2628,2430.96222,b cell
1875.39998,406.48134,b cell
1999.94858,872.97246,b cell
2588.72378,2021.46152,b cell
2089.39712,412.52006,b cell
2069.39386,364.2103,b cell
2303.39426,1459.4831399999998,b cell
2537.77208,2135.44236,b cell
2704.59172,2663.07552,b cell
2411.33638,1400.6056199999998,b cell
2831.40484,2911.41788,b cell
2308.30072,1483.63802,b cell
1348.52166,870.7079399999999,b cell
2771.39506,2557.0205,b cell
2717.04658,2269.42646,b cell
2467.94938,2030.5196,b cell
2559.66244,2247.91352,b cell
1989.38082,688.03666,b cell
1923.70974,118.8873,b cell
2649.86582,2453.60742,b cell
2909.53078,2888.01784,b cell
2742.71114,2749.88212,b cell
2088.26486,407.6136,b cell
2352.08144,1271.1505599999998,b cell
2649.11098,2125.62944,b cell
2842.35002,3228.8281,b cell
2406.80734,1698.76742,b cell
1864.07738,357.79416,b cell
2831.02742,3209.9571,b cell
2109.40038,1120.55998,b cell
2789.1338,2910.66304,b cell
1975.41628,707.6624999999999,b cell
2694.7788,3083.14398,b cell
2875.9404,3044.64714,b cell
2459.64614,1784.44176,b cell
2903.11464,3231.84746,b cell
2374.34922,1697.25774,b cell
2057.69384,974.49844,b cell
1898.4226,508.00732,b cell
2694.7788,2660.05616,b cell
2228.6651,1464.3896,b cell
2674.39812,2148.65206,b cell
2298.11038,1452.31216,b cell
2173.9392,777.86262,b cell
2599.66896,2544.18822,b cell
2793.28542,2261.50064,b cell
1985.60662,870.33052,b cell
2700.4401,2466.06228,b cell
2857.82424,3163.53444,b cell
2177.7134,853.72404,b cell
2226.40058,1125.08902,b cell
2675.9078,2897.07592,b cell
1951.2614,160.02607999999998,b cell
2066.3745,325.71346,b cell
2544.56564,2143.36818,b cell
2757.80794,2407.9396,b cell
2203.75538,1034.88564,b cell
2766.4886,2881.97912,b cell
