x,y,Cell Type
1550.4413599999998,753.70774,endothelial cell
1598.75112,805.41428,endothelial cell
1925.97426,2155.44562,endothelial cell
1000.54042,1128.86322,endothelial cell
2433.22674,2464.17518,endothelial cell
1893.89356,3234.11198,endothelial cell
1434.196,842.7788599999999,endothelial cell
1133.39226,999.03074,endothelial cell
2298.86522,2120.34556,endothelial cell
1414.57016,1055.64374,endothelial cell
997.89848,734.0818999999999,endothelial cell
732.9496399999999,2681.94652,endothelial cell
1899.17744,3237.13134,endothelial cell
1613.4705,897.88218,endothelial cell
2447.94612,2290.9394,endothelial cell
2393.22022,2327.54914,endothelial cell
1005.8243,589.90746,endothelial cell
2142.99076,3253.3604,endothelial cell
1812.74826,1818.03214,endothelial cell
1548.93168,2154.69078,endothelial cell
1940.31622,1830.487,endothelial cell
1606.2995199999998,887.69184,endothelial cell
150.968,3369.60576,endothelial cell
1097.9147799999998,466.49112,endothelial cell
1345.5023,1465.5218599999998,endothelial cell
2075.43258,2995.20512,endothelial cell
594.8139199999999,2766.11118,endothelial cell
1522.13486,1558.7446,endothelial cell
1395.69916,592.92682,endothelial cell
1103.57608,469.8879,endothelial cell
1725.94166,723.51414,endothelial cell
702.75604,2692.51428,endothelial cell
2072.0358,3184.66996,endothelial cell
1504.0187,2752.90148,endothelial cell
1396.454,2864.99522,endothelial cell
1416.07984,1684.80288,endothelial cell
55.85816,2922.74048,endothelial cell
1552.32846,2119.96814,endothelial cell
191.35194,1875.02256,endothelial cell
388.36518,3289.97014,endothelial cell
1417.96694,1490.05416,endothelial cell
976.00812,330.2425,endothelial cell
601.60748,736.72384,endothelial cell
1895.78066,3229.58294,endothelial cell
1923.33232,1625.17052,endothelial cell
1887.85484,3235.62166,endothelial cell
1761.04172,1409.6636999999998,endothelial cell
1915.02908,1211.89562,endothelial cell
1408.90886,845.4208,endothelial cell
1381.73462,3201.27644,endothelial cell
1605.9221,928.07578,endothelial cell
1209.25368,605.0042599999999,endothelial cell
1813.88052,2775.54668,endothelial cell
2020.70668,1762.92882,endothelial cell
1365.88298,1473.44768,endothelial cell
1543.27038,1572.70914,endothelial cell
879.3886,2575.8915,endothelial cell
1404.75724,1698.0125799999998,endothelial cell
1029.60176,45.66782,endothelial cell
1779.9127199999998,819.0014,endothelial cell
1578.74786,818.62398,endothelial cell
1385.50882,589.15262,endothelial cell
2597.40444,3400.93162,endothelial cell
1400.6056199999998,1662.91252,endothelial cell
503.47828,1120.18256,endothelial cell
2370.95244,2247.91352,endothelial cell
974.12102,708.0399199999999,endothelial cell
1436.0830999999998,1113.76642,endothelial cell
1481.3735,845.7982199999999,endothelial cell
1192.6472,2822.34676,endothelial cell
2126.7617,3272.98624,endothelial cell
1502.88644,1608.94146,endothelial cell
391.38454,3351.11218,endothelial cell
572.5461399999999,1830.487,endothelial cell
1202.46012,464.2266,endothelial cell
1162.07618,1675.7448,endothelial cell
1519.49292,1941.07106,endothelial cell
1552.70588,2130.91332,endothelial cell
1999.19374,1327.3861399999998,endothelial cell
709.92702,46.42266,endothelial cell
325.33604,207.581,endothelial cell
641.6139999999999,3419.4252,endothelial cell
1127.73096,1006.20172,endothelial cell
1266.62152,3270.72172,endothelial cell
1020.9211,834.85304,endothelial cell
2619.67222,3322.42826,endothelial cell
606.5139399999999,763.14324,endothelial cell
1989.38082,1314.93128,endothelial cell
2129.40364,3297.89596,endothelial cell
1261.71506,3201.65386,endothelial cell
1437.59278,2941.23406,endothelial cell
2117.70362,3250.34104,endothelial cell
1118.2954599999998,985.0662,endothelial cell
2613.25608,3316.38954,endothelial cell
1177.5504,2125.62944,endothelial cell
2862.7307,3160.13766,endothelial cell
2652.13034,2262.6329,endothelial cell
2237.34576,1065.4566599999998,endothelial cell
2480.78166,1625.54794,endothelial cell
2408.69444,1286.62478,endothelial cell
2818.94998,1593.84466,endothelial cell
2650.24324,1933.14524,endothelial cell
2492.8591,2458.8913,endothelial cell
1959.18722,1451.93474,endothelial cell
1761.04172,1176.04072,endothelial cell
2301.12974,450.26206,endothelial cell
2941.9889,3053.70522,endothelial cell
2643.8271,1344.37004,endothelial cell
2512.86236,2527.58174,endothelial cell
2674.77554,2380.01052,endothelial cell
2148.65206,1000.91784,endothelial cell
2237.34576,1069.60828,endothelial cell
2042.59704,815.60462,endothelial cell
2543.05596,2713.6498,endothelial cell
2940.85664,2922.74048,endothelial cell
1920.31296,20.38068,endothelial cell
2498.89782,1420.9863,endothelial cell
1894.27098,873.34988,endothelial cell
2124.11976,1555.34782,endothelial cell
2074.67774,314.76828,endothelial cell
2938.59212,2015.4228,endothelial cell
2814.79836,2527.58174,endothelial cell
2854.05004,3293.74434,endothelial cell
2252.44256,874.48214,endothelial cell
1954.65818,157.38414,endothelial cell
1967.86788,386.10066,endothelial cell
1816.14504,650.6720799999999,endothelial cell
1856.52898,315.90054,endothelial cell
2903.49206,3373.37996,endothelial cell
2308.67814,1381.3572,endothelial cell
2317.73622,889.9563599999999,endothelial cell
2677.41748,1823.31602,endothelial cell
2598.91412,2159.21982,endothelial cell
1951.63882,167.57448,endothelial cell
345.71671999999995,2181.86502,endothelial cell
2098.07778,531.78478,endothelial cell
1044.69856,9.4355,endothelial cell
2801.21124,2960.48248,endothelial cell
2693.64654,1865.58706,endothelial cell
2119.2133,397.80068,endothelial cell
2623.44642,1930.5033,endothelial cell
2602.3109,2344.53304,endothelial cell
803.1497599999999,693.69796,endothelial cell
1975.7937,1145.0922799999998,endothelial cell
2715.5369,1586.2962599999998,endothelial cell
1538.7413399999998,1641.7769999999998,endothelial cell
2510.22042,2304.90394,endothelial cell
2940.47922,3380.55094,endothelial cell
2513.6172,2296.22328,endothelial cell
2273.57808,727.66576,endothelial cell
1945.97752,168.32932,endothelial cell
2543.8108,2574.38182,endothelial cell
2594.7625,1345.87972,endothelial cell
2176.20372,691.05602,endothelial cell
2116.57136,1079.79862,endothelial cell
2204.51022,695.9624799999999,endothelial cell
2262.6329,484.60728,endothelial cell
2132.80042,749.93354,endothelial cell
1967.86788,382.32646,endothelial cell
2180.73276,850.7046799999999,endothelial cell
198.52292,1703.2964599999998,endothelial cell
2902.73722,3265.06042,endothelial cell
2528.714,1433.44116,endothelial cell
2200.73602,1030.3565999999998,endothelial cell
2124.49718,748.42386,endothelial cell
2377.746,1347.01198,endothelial cell
2168.65532,841.6465999999999,endothelial cell
1936.1646,260.04238,endothelial cell
98.1292,2889.90494,endothelial cell
2698.93042,2319.2459,endothelial cell
1916.16134,113.98084,endothelial cell
1825.20312,667.65598,endothelial cell
2594.7625,1940.69364,endothelial cell
2319.2459,940.90806,endothelial cell
2265.65226,1134.90194,endothelial cell
2096.19068,863.15954,endothelial cell
2974.82444,3367.71866,endothelial cell
2730.6337,1885.2129,endothelial cell
2693.64654,3362.43478,endothelial cell
2200.73602,685.0173,endothelial cell
1879.5516,542.72996,endothelial cell
2026.7454,726.15608,endothelial cell
2889.52752,3196.36998,endothelial cell
1813.88052,646.52046,endothelial cell
2435.49126,1393.43464,endothelial cell
2706.47882,2320.75558,endothelial cell
1489.67674,637.4623799999999,endothelial cell
2935.95018,3245.05716,endothelial cell
1920.31296,190.5971,endothelial cell
2570.60762,2723.0853,endothelial cell
855.9885599999999,54.34848,endothelial cell
1982.96468,1315.3086999999998,endothelial cell
1934.65492,537.8235,endothelial cell
2489.83974,1605.54468,endothelial cell
2292.44908,602.73974,endothelial cell
2742.71114,2801.21124,endothelial cell
1922.57748,98.1292,endothelial cell
2459.64614,1831.24184,endothelial cell
1945.97752,540.0880199999999,endothelial cell
2880.09202,3081.6343,endothelial cell
2373.9718,1283.2279999999998,endothelial cell
2658.54648,1929.74846,endothelial cell
2126.00686,401.19746,endothelial cell
1799.16114,688.41408,endothelial cell
2045.6164,775.97552,endothelial cell
2771.39506,2281.5039,endothelial cell
2843.48228,2761.95956,endothelial cell
2874.43072,2369.44276,endothelial cell
2788.37896,2232.81672,endothelial cell
180.40676,2372.46212,endothelial cell
2390.57828,882.03054,endothelial cell
2763.84666,1812.74826,endothelial cell
2561.54954,1373.8088,endothelial cell
1007.7114,193.23904,endothelial cell
3051.06328,3397.91226,endothelial cell
2920.85338,3401.30904,endothelial cell
2694.02396,2788.00154,endothelial cell
843.91112,44.91298,endothelial cell
2650.99808,2069.77128,endothelial cell
2901.22754,3013.6987,endothelial cell
2758.9402,2402.65572,endothelial cell
2816.68546,1571.9543,endothelial cell
2969.54056,3074.84074,endothelial cell
26.4194,3366.5864,endothelial cell
2279.99422,1102.82124,endothelial cell
2318.86848,947.3242,endothelial cell
2575.8915,3012.94386,endothelial cell
2235.45866,476.30404,endothelial cell
1893.89356,134.36151999999998,endothelial cell
2651.75292,2018.81958,endothelial cell
2785.73702,2275.08776,endothelial cell
2473.61068,1456.08636,endothelial cell
2136.1972,1743.30298,endothelial cell
2439.26546,1628.94472,endothelial cell
3017.4729,3364.6993,endothelial cell
2461.91066,1420.60888,endothelial cell
2499.65266,1622.52858,endothelial cell
137.38088,706.90766,endothelial cell
2285.2781,1092.6309,endothelial cell
2715.5369,2302.262,endothelial cell
2424.9235,940.53064,endothelial cell
2241.49738,2027.50024,endothelial cell
2227.15542,896.3725,endothelial cell
2836.68872,2422.28156,endothelial cell
1842.94186,85.67434,endothelial cell
1979.94532,95.86468,endothelial cell
2495.12362,1422.8734,endothelial cell
2429.07512,963.55326,endothelial cell
1981.455,91.71306,endothelial cell
3088.05044,3350.35734,endothelial cell
2019.57442,149.83574,endothelial cell
2734.4079,1875.02256,endothelial cell
1753.4933199999998,385.72324,endothelial cell
2821.96934,2253.95224,endothelial cell
2499.65266,1417.2121,endothelial cell
1899.55486,132.09699999999998,endothelial cell
2588.72378,3029.55034,endothelial cell
390.25228,906.56284,endothelial cell
2360.7621,2210.92636,endothelial cell
2506.0688,1126.5987,endothelial cell
1963.71626,138.13572,endothelial cell
2846.50164,2421.1493,endothelial cell
2898.5856,3010.30192,endothelial cell
1717.261,351.75544,endothelial cell
1967.49046,149.83574,endothelial cell
2815.17578,2445.30418,endothelial cell
2729.50144,2287.54262,endothelial cell
2807.62738,2274.33292,endothelial cell
2311.6975,1302.099,endothelial cell
2482.29134,2225.26832,endothelial cell
2228.6651,491.77826,endothelial cell
2314.71686,894.4853999999999,endothelial cell
2709.12076,1806.33212,endothelial cell
2769.50796,1815.01278,endothelial cell
2392.08796,1284.36026,endothelial cell
2138.83914,765.0303399999999,endothelial cell
2659.30132,3245.812,endothelial cell
2703.83688,3100.5053,endothelial cell
2645.33678,2087.88744,endothelial cell
2772.90474,1787.0837,endothelial cell
2081.4713,311.3715,endothelial cell
2857.44682,2396.617,endothelial cell
2065.61966,247.58752,endothelial cell
2070.90354,498.1944,endothelial cell
2803.85318,2389.0686,endothelial cell
2701.57236,1869.36126,endothelial cell
2398.5041,896.3725,endothelial cell
1112.6341599999998,2772.1499,endothelial cell
2385.67182,1161.32134,endothelial cell
2406.42992,2393.22022,endothelial cell
2878.95976,2714.78206,endothelial cell
2168.65532,216.26166,endothelial cell
2698.93042,2329.81366,endothelial cell
2127.51654,1503.26386,endothelial cell
2533.24304,2084.86808,endothelial cell
2638.54322,1359.08942,endothelial cell
834.85304,36.60974,endothelial cell
2667.22714,3373.00254,endothelial cell
1948.61946,270.23272,endothelial cell
2333.21044,1226.99242,endothelial cell
2305.65878,1370.78944,endothelial cell
1924.46458,256.26818,endothelial cell
2214.70056,871.46278,endothelial cell
2920.47596,3016.34064,endothelial cell
2761.95956,1790.10306,endothelial cell
1806.33212,310.23924,endothelial cell
2443.03966,1417.2121,endothelial cell
2604.57542,1544.02522,endothelial cell
2864.6178,2551.3592,endothelial cell
2561.54954,2689.1175,endothelial cell
2901.22754,2547.96242,endothelial cell
2909.15336,3372.62512,endothelial cell
2528.714,1815.3902,endothelial cell
2738.93694,2597.40444,endothelial cell
2893.30172,2437.37836,endothelial cell
2157.33272,282.68758,endothelial cell
1800.2933999999998,447.2427,endothelial cell
2777.8112,2523.80754,endothelial cell
2896.6985,3172.96994,endothelial cell
2606.0851,1567.42526,endothelial cell
2903.11464,2931.79856,endothelial cell
2116.57136,907.6951,endothelial cell
2179.22308,836.36272,endothelial cell
2794.7951,2237.34576,endothelial cell
2028.6325,279.2908,endothelial cell
227.20684,1382.11204,endothelial cell
2634.01418,3052.95038,endothelial cell
2219.2296,868.0659999999999,endothelial cell
2243.7619,654.06886,endothelial cell
2418.12994,903.16606,endothelial cell
2887.263,2372.0847,endothelial cell
2495.12362,1143.96002,endothelial cell
2854.80488,3024.64388,endothelial cell
1702.1642,316.27796,endothelial cell
2840.0855,1896.91292,endothelial cell
2929.15662,3179.38608,endothelial cell
1935.78718,99.63888,endothelial cell
2858.9565,2418.88478,endothelial cell
2624.57868,1326.6313,endothelial cell
2706.85624,2243.38448,endothelial cell
2892.54688,3360.9251,endothelial cell
2306.41362,1555.34782,endothelial cell
3004.2632,2864.6178,endothelial cell
2388.69118,1287.0022,endothelial cell
2839.33066,2375.48148,endothelial cell
2144.12302,1771.9869,endothelial cell
2856.69198,2694.7788,endothelial cell
2863.48554,2393.97506,endothelial cell
2106.0036,494.04278,endothelial cell
2590.23346,2219.98444,endothelial cell
2837.82098,1904.0839,endothelial cell
1985.60662,1154.15036,endothelial cell
2496.6333,1400.2282,endothelial cell
2847.25648,1884.83548,endothelial cell
1537.9865,190.5971,endothelial cell
2246.78126,871.46278,endothelial cell
2397.37184,1283.98284,endothelial cell
2425.30092,1661.40284,endothelial cell
2180.73276,508.00732,endothelial cell
2184.12954,226.07458,endothelial cell
2033.91638,401.9523,endothelial cell
3050.30844,3406.2155,endothelial cell
2948.40504,3174.85704,endothelial cell
1957.30012,140.40024,endothelial cell
2845.7468,3152.58926,endothelial cell
1879.5516,536.69124,endothelial cell
2202.62312,801.6400799999999,endothelial cell
2210.17152,680.48826,endothelial cell
2364.15888,976.00812,endothelial cell
2219.60702,752.57548,endothelial cell
2413.97832,1281.71832,endothelial cell
3027.66324,3034.07938,endothelial cell
2879.7146,1593.46724,endothelial cell
2509.08816,1444.00892,endothelial cell
2632.88192,1888.9871,endothelial cell
2893.30172,2111.6649,endothelial cell
2032.02928,65.29366,endothelial cell
3098.99562,3037.09874,endothelial cell
2524.18496,1390.41528,endothelial cell
2373.9718,1286.2473599999998,endothelial cell
2079.5842,1393.05722,endothelial cell
2455.49452,1415.7024199999998,endothelial cell
2629.10772,1525.90906,endothelial cell
2092.03906,508.00732,endothelial cell
2126.38428,1480.61866,endothelial cell
2243.00706,1074.13732,endothelial cell
1952.01624,538.9557599999999,endothelial cell
2253.95224,1062.81472,endothelial cell
2986.52446,3063.14072,endothelial cell
2383.78472,1347.7668199999998,endothelial cell
2281.88132,697.84958,endothelial cell
2784.98218,2235.08124,endothelial cell
2779.32088,1569.68978,endothelial cell
2961.99216,2891.0372,endothelial cell
2123.74234,41.13878,endothelial cell
2500.78492,2344.91046,endothelial cell
2133.93268,255.13592,endothelial cell
2446.81386,1117.91804,endothelial cell
2173.18436,318.16506,endothelial cell
2269.80388,737.8561,endothelial cell
2449.83322,1419.47662,endothelial cell
2515.88172,2798.19188,endothelial cell
2266.78452,874.85956,endothelial cell
2380.76536,1287.0022,endothelial cell
2592.49798,1396.83142,endothelial cell
2054.29706,44.15814,endothelial cell
2646.46904,1922.57748,endothelial cell
2473.23326,2074.67774,endothelial cell
2174.69404,840.89176,endothelial cell
2373.21696,1423.25082,endothelial cell
2335.47496,969.59198,endothelial cell
2229.41994,769.5593799999999,endothelial cell
2268.2942,453.65884,endothelial cell
2013.15828,1411.92822,endothelial cell
2713.27238,1893.13872,endothelial cell
2250.93288,888.4466799999999,endothelial cell
2422.28156,1488.9218999999998,endothelial cell
2574.75924,1882.57096,endothelial cell
3109.56338,3369.22834,endothelial cell
2586.08184,2193.18762,endothelial cell
1820.29666,851.45952,endothelial cell
2521.92044,1105.46318,endothelial cell
2954.44376,2896.6985,endothelial cell
2221.1167,746.91418,endothelial cell
2765.73376,2025.99056,endothelial cell
2133.17784,486.11696,endothelial cell
2680.05942,2371.70728,endothelial cell
1971.64208,377.42,endothelial cell
2093.92616,533.29446,endothelial cell
2797.05962,2391.33312,endothelial cell
2418.88478,1658.38348,endothelial cell
2791.77574,1601.0156399999998,endothelial cell
2.26452,2431.33964,endothelial cell
90.5808,771.0690599999999,endothelial cell
2465.68486,1388.15076,endothelial cell
1995.79696,149.0809,endothelial cell
2492.8591,2138.46172,endothelial cell
2251.3103,849.1949999999999,endothelial cell
1982.20984,602.36232,endothelial cell
2503.42686,1407.39918,endothelial cell
2257.72644,491.02342,endothelial cell
1842.56444,50.19686,endothelial cell
90.95822,2863.10812,endothelial cell
2751.01438,2441.15256,endothelial cell
2223.38122,863.15954,endothelial cell
2642.69484,2266.78452,endothelial cell
2368.3105,1450.04764,endothelial cell
2896.6985,1588.9381999999998,endothelial cell
2813.6661,2271.31356,endothelial cell
2498.14298,1411.17338,endothelial cell
2183.75212,326.84572,endothelial cell
2412.46864,2389.44602,endothelial cell
2922.74048,2925.38242,endothelial cell
2769.13054,2226.02316,endothelial cell
131.71957999999998,689.16892,endothelial cell
3013.32128,3359.038,endothelial cell
2258.10386,875.99182,endothelial cell
2196.5844,817.49172,endothelial cell
2433.60416,1136.0341999999998,endothelial cell
2559.66244,1590.8253,endothelial cell
2615.89802,2389.44602,endothelial cell
2772.90474,2394.35248,endothelial cell
2116.19394,956.38228,endothelial cell
2895.18882,3365.83156,endothelial cell
2649.11098,1888.23226,endothelial cell
2123.74234,1469.29606,endothelial cell
2858.57908,3230.33778,endothelial cell
2090.9068,1132.63742,endothelial cell
2888.01784,2390.9557,endothelial cell
2066.75192,2998.22448,endothelial cell
2022.9712,422.7104,endothelial cell
2219.60702,776.7303599999999,endothelial cell
2863.86296,1598.75112,endothelial cell
2289.42972,1939.56138,endothelial cell
3053.3278,3411.8768,endothelial cell
2057.31642,504.98796,endothelial cell
2463.79776,1552.32846,endothelial cell
2796.30478,1841.05476,endothelial cell
2679.30458,2361.51694,endothelial cell
2426.8106,1564.4059,endothelial cell
2310.56524,616.32686,endothelial cell
180.40676,1129.99548,endothelial cell
2932.5534,2023.72604,endothelial cell
2512.10752,2757.43052,endothelial cell
2828.7629,2425.67834,endothelial cell
2067.88418,519.7073399999999,endothelial cell
2522.29786,1441.7443999999998,endothelial cell
2806.49512,2967.27604,endothelial cell
1871.62578,868.82084,endothelial cell
2372.0847,876.36924,endothelial cell
318.16506,2608.34962,endothelial cell
2590.23346,2873.29846,endothelial cell
2133.55526,17.73874,endothelial cell
2373.59438,1170.75684,endothelial cell
1946.35494,1.8871,endothelial cell
322.6941,3056.34716,endothelial cell
37.742,3343.18636,endothelial cell
183.42612,1105.46318,endothelial cell
2513.6172,2289.0523,endothelial cell
3001.99868,2881.6017,endothelial cell
1835.01604,60.76462,endothelial cell
2965.38894,2901.60496,endothelial cell
2174.69404,1010.35334,endothelial cell
2102.2294,74.35173999999999,endothelial cell
2661.94326,2256.59418,endothelial cell
2937.83728,2858.9565,endothelial cell
2474.74294,1546.28974,endothelial cell
2258.48128,850.3272599999999,endothelial cell
2607.59478,1528.92842,endothelial cell
1953.90334,173.61319999999998,endothelial cell
2497.38814,1389.66044,endothelial cell
2044.86156,133.22925999999998,endothelial cell
2814.04352,2958.21796,endothelial cell
2566.07858,1587.42852,endothelial cell
2831.78226,1956.54528,endothelial cell
2736.67242,1849.358,endothelial cell
2134.68752,43.02588,endothelial cell
2154.31336,378.17484,endothelial cell
2590.23346,3049.5536,endothelial cell
2648.73356,2737.80468,endothelial cell
2694.40138,1523.64454,endothelial cell
2232.4393,2042.97446,endothelial cell
2247.5361,753.70774,endothelial cell
2042.59704,412.52006,endothelial cell
2501.53976,1616.48986,endothelial cell
1992.02276,1159.05682,endothelial cell
2504.55912,1548.55426,endothelial cell
2456.24936,1744.8126599999998,endothelial cell
2687.98524,1519.87034,endothelial cell
2475.8752,1425.51534,endothelial cell
2884.62106,3013.32128,endothelial cell
2162.23918,307.21988,endothelial cell
2287.54262,1125.08902,endothelial cell
1839.54508,91.71306,endothelial cell
2233.94898,756.3496799999999,endothelial cell
2863.10812,2091.66164,endothelial cell
3044.26972,3057.85684,endothelial cell
9.81292,271.36498,endothelial cell
2945.00826,3169.95058,endothelial cell
2187.1489,834.85304,endothelial cell
1998.06148,70.20012,endothelial cell
2727.61434,1778.02562,endothelial cell
2745.35308,1555.34782,endothelial cell
2680.81426,2130.5359,endothelial cell
138.13572,945.05968,endothelial cell
2677.41748,1858.41608,endothelial cell
2157.71014,374.40064,endothelial cell
2567.96568,1962.96142,endothelial cell
2187.52632,1831.24184,endothelial cell
2992.9406,3030.30518,endothelial cell
2305.65878,880.52086,endothelial cell
2142.99076,768.0496999999999,endothelial cell
1602.52532,12.83228,endothelial cell
1886.34516,19.24842,endothelial cell
2906.88884,3085.03108,endothelial cell
2822.72418,2020.70668,endothelial cell
2889.90494,2386.04924,endothelial cell
2555.88824,2847.25648,endothelial cell
2295.46844,915.99834,endothelial cell
2683.4562,1914.27424,endothelial cell
1931.63556,219.28102,endothelial cell
2440.39772,1409.2862799999998,endothelial cell
2328.6814,1360.5991,endothelial cell
2977.08896,2876.69524,endothelial cell
3117.86662,3360.9251,endothelial cell
2834.04678,3296.38628,endothelial cell
2224.51348,460.07498,endothelial cell
2126.7617,412.89748,endothelial cell
