x,y,Cell Type
1461.37024,808.43364,dendritic cell
2284.14584,1644.7963599999998,dendritic cell
2524.9398,2153.1811,dendritic cell
2283.01358,1437.59278,dendritic cell
84.16466,2364.5363,dendritic cell
2062.6003,414.40716,dendritic cell
3060.12136,3053.3278,dendritic cell
2267.16194,479.3234,dendritic cell
2421.90414,1224.7279,dendritic cell
1788.5933799999998,506.12022,dendritic cell
2402.2783,1260.5828,dendritic cell
2385.67182,965.81778,dendritic cell
2694.40138,3099.75046,dendritic cell
2127.51654,257.77786,dendritic cell
2538.52692,2153.55852,dendritic cell
2558.53018,2139.9714,dendritic cell
2661.56584,2522.67528,dendritic cell
2378.87826,915.99834,dendritic cell
2809.51448,2403.78798,dendritic cell
2871.41136,2061.84546,dendritic cell
2610.23672,1552.70588,dendritic cell
2671.75618,2761.95956,dendritic cell
1501.37676,829.9465799999999,dendritic cell
2260.7458,1756.5126799999998,dendritic cell
2325.28462,1257.94086,dendritic cell
2612.87866,1556.10266,dendritic cell
18.871,2433.22674,dendritic cell
1817.65472,602.36232,dendritic cell
2045.23898,350.24576,dendritic cell
2739.69178,2728.7466,dendritic cell
2661.94326,2353.59112,dendritic cell
1975.03886,1047.71792,dendritic cell
2090.52938,263.06174,dendritic cell
2619.2948,2898.5856,dendritic cell
1927.48394,919.39512,dendritic cell
2444.92676,2012.02602,dendritic cell
2733.27564,2221.1167,dendritic cell
2379.25568,969.59198,dendritic cell
1942.58074,906.94026,dendritic cell
2454.73968,2002.59052,dendritic cell
2347.92982,1707.07066,dendritic cell
2560.41728,1383.62172,dendritic cell
2593.25282,2326.41688,dendritic cell
2085.2455,337.03606,dendritic cell
1359.8442599999998,867.68858,dendritic cell
2862.35328,2571.73988,dendritic cell
1651.58992,808.43364,dendritic cell
2520.78818,2271.69098,dendritic cell
243.81332,1733.1126399999998,dendritic cell
1394.9443199999998,859.76276,dendritic cell
2129.40364,252.8714,dendritic cell
2592.12056,2334.3427,dendritic cell
1817.65472,614.43976,dendritic cell
67.9356,384.21356,dendritic cell
1778.78046,63.02914,dendritic cell
2114.30684,1274.5473399999998,dendritic cell
2004.47762,137.7583,dendritic cell
2723.84014,3075.59558,dendritic cell
2743.8434,1797.2740399999998,dendritic cell
2802.72092,1882.94838,dendritic cell
2447.5687,2278.48454,dendritic cell
29.43876,2845.36938,dendritic cell
2174.69404,1670.8383399999998,dendritic cell
2890.65978,2030.5196,dendritic cell
2419.63962,1791.9901599999998,dendritic cell
1998.06148,777.4852,dendritic cell
