AS/1,AS/1/ID,AS/1/LABEL,AS/2,AS/2/ID,AS/2/LABEL,AS/3,AS/3/ID,AS/3/LABEL,AS/4,AS/4/ID,AS/4/LABEL,AS/5,AS/5/ID,AS/5/LABEL,AS/6,AS/6/ID,AS/6/LABEL,AS/7,AS/7/ID,AS/7/LABEL,AS/8,AS/8/ID,AS/8/LABEL,AS/9,AS/9/ID,AS/9/LABEL,AS/10,AS/10/ID,AS/10/LABEL,AS/11,AS/11/ID,AS/11/LABEL,AS/12,AS/12/ID,AS/12/LABEL,CT/1 - Sources,BGene/1,NV notes
cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,blood vessel endothelial cell,CL:0000071,blood vessel endothelial cell,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,myeloid leukocyte,CL:0000766,myeloid leukocyte,granulocyte,CL:0000094,granulocyte,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,precursor cell,CL:0011115,precursor cell,progenitor cell,CL:0011026,progenitor cell,club cell,CL:0000158,club cell,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,precursor cell,CL:0011115,precursor cell,stem cell,CL:0000034,stem cell,somatic stem cell,CL:0000723,somatic stem cell,epithelial fate stem cell,CL:0000036,epithelial fate stem cell,basal cell,CL:0000646,basal cell,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,gamma-delta T cell,CL:0000798,gamma-delta T cell,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,B cell,CL:0000236,B cell,"B cell, CD19-positive",CL:0001201,"B cell, CD19-positive",mature B cell,CL:0000785,mature B cell,germinal center B cell,CL:0000844,germinal center B cell,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,myeloid leukocyte,CL:0000766,myeloid leukocyte,macrophage,CL:0000235,macrophage,elicited macrophage,CL:0000861,elicited macrophage,M1 macrophage,CL:0000863,M1 macrophage,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,epithelial cell of lower respiratory tract,CL:0002632,epithelial cell of lower respiratory tract,epithelial cell of lung,CL:0000082,epithelial cell of lung,pulmonary alveolar epithelial cell,CL:0000322,pulmonary alveolar epithelial cell,pulmonary alveolar type 1 cell,CL:0002062,pulmonary alveolar type 1 cell,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,duct epithelial cell,CL:0000068,duct epithelial cell,branched duct epithelial cell,CL:0000069,branched duct epithelial cell,pancreatic ductal cell,CL:0002079,pancreatic ductal cell,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,mononuclear phagocyte,CL:0000113,mononuclear phagocyte,dendritic cell,CL:0000451,dendritic cell,conventional dendritic cell,CL:0000990,conventional dendritic cell,myeloid dendritic cell,CL:0000782,myeloid dendritic cell,CD1c-positive myeloid dendritic cell,CL:0002399,CD1c-positive myeloid dendritic cell,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,ionocyte,CL:0005006,ionocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,nephron tubule epithelial cell,CL:1000494,nephron tubule epithelial cell,epithelial cell of distal tubule,CL:0002305,epithelial cell of distal tubule,kidney loop of Henle ascending limb epithelial cell,CL:1001016,kidney loop of Henle ascending limb epithelial cell,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,neural cell,CL:0002319,neural cell,neuron,CL:0000540,neuron,central nervous system neuron,CL:2000029,central nervous system neuron,neuron of the forebrain,CL:0012001,neuron of the forebrain,cerebral cortex neuron,CL:0010012,cerebral cortex neuron,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,intratelencephalic-projecting glutamatergic cortical neuron,L2/3-6 intratelencephalic projecting glutamatergic neuron,CL:4023040,L2/3-6 intratelencephalic projecting glutamatergic neuron,L6 intratelencephalic projecting glutamatergic neuron,CL:4030065,L6 intratelencephalic projecting glutamatergic neuron,L6 intratelencephalic projecting Car3 glutamatergic neuron,CL:4030068,L6 intratelencephalic projecting Car3 glutamatergic neuron,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,cycling T cell,CL:4033069,cycling T cell,"cycling CD8-positive, alpha-beta T cell",CL:4033074,"cycling CD8-positive, alpha-beta T cell",,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,neural cell,CL:0002319,neural cell,neuron,CL:0000540,neuron,,,,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,hematopoietic precursor cell,CL:0008001,hematopoietic precursor cell,hematopoietic oligopotent progenitor cell,CL:0002032,hematopoietic oligopotent progenitor cell,"hematopoietic oligopotent progenitor cell, lineage-negative",CL:0001060,"hematopoietic oligopotent progenitor cell, lineage-negative",CD7-negative lymphoid progenitor OR granulocyte monocyte progenitor,CL:0001012,CD7-negative lymphoid progenitor OR granulocyte monocyte progenitor,granulocyte monocyte progenitor cell,CL:0000557,granulocyte monocyte progenitor cell,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,connective tissue cell,CL:0002320,connective tissue cell,pericyte,CL:0000669,pericyte,renal interstitial pericyte,CL:1001318,renal interstitial pericyte,mesangial cell,CL:0000650,mesangial cell,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,mature alpha-beta T cell,CL:0000791,mature alpha-beta T cell,"CD4-positive, alpha-beta T cell",CL:0000624,"CD4-positive, alpha-beta T cell","CD4-positive, alpha-beta memory T cell",CL:0000897,"CD4-positive, alpha-beta memory T cell",,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,memory T cell,CL:0000813,memory T cell,"CD8-positive, alpha-beta memory T cell",CL:0000909,"CD8-positive, alpha-beta memory T cell","CD8-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001203,"CD8-positive, alpha-beta memory T cell, CD45RO-positive","effector memory CD8-positive, alpha-beta T cell",CL:0000913,"effector memory CD8-positive, alpha-beta T cell",,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,"lymphocyte of B lineage, CD19-positive",CL:0001200,"lymphocyte of B lineage, CD19-positive","B cell, CD19-positive",CL:0001201,"B cell, CD19-positive",mature B cell,CL:0000785,mature B cell,memory B cell,CL:0000787,memory B cell,unswitched memory B cell,CL:0000970,unswitched memory B cell,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,muscle cell,CL:0000187,muscle cell,striated muscle cell,CL:0000737,striated muscle cell,cardiac muscle cell,CL:0000746,cardiac muscle cell,regular cardiac myocyte,CL:0002098,regular cardiac myocyte,regular ventricular cardiac myocyte,CL:0002131,regular ventricular cardiac myocyte,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,respiratory tract secretory epithelial cell,CL:0008055,respiratory tract secretory epithelial cell,respiratory tract goblet cell,CL:0002370,respiratory tract goblet cell,nasal mucosa goblet cell,CL:0002480,nasal mucosa goblet cell,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,connective tissue cell,CL:0002320,connective tissue cell,stromal cell,CL:0000499,stromal cell,fibroblast,CL:0000057,fibroblast,reticular cell,CL:0000432,reticular cell,fibroblastic reticular cell,CL:0009101,fibroblastic reticular cell,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,B cell,CL:0000236,B cell,"B cell, CD19-positive",CL:0001201,"B cell, CD19-positive",mature B cell,CL:0000785,mature B cell,germinal center B cell,CL:0000844,germinal center B cell,centrocyte,CL:0009111,centrocyte,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,kidney corpuscule cell,CL:1000612,kidney corpuscule cell,glomerular cell,CL:1000746,glomerular cell,kidney glomerular epithelial cell,CL:1000510,kidney glomerular epithelial cell,epithelial cell of glomerular capsule,CL:1000450,epithelial cell of glomerular capsule,parietal epithelial cell,CL:1000452,parietal epithelial cell,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,nephron tubule epithelial cell,CL:1000494,nephron tubule epithelial cell,kidney connecting tubule epithelial cell,CL:1000768,kidney connecting tubule epithelial cell,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,nephron tubule epithelial cell,CL:1000494,nephron tubule epithelial cell,epithelial cell of distal tubule,CL:0002305,epithelial cell of distal tubule,macula densa epithelial cell,CL:1000850,macula densa epithelial cell,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,nephron tubule epithelial cell,CL:1000494,nephron tubule epithelial cell,epithelial cell of proximal tubule,CL:0002306,epithelial cell of proximal tubule,brush border cell of the proximal tubule,CL:0002307,brush border cell of the proximal tubule,kidney proximal convoluted tubule epithelial cell,CL:1000838,kidney proximal convoluted tubule epithelial cell,epithelial cell of proximal tubule segment 2,CL:4030010,epithelial cell of proximal tubule segment 2,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,mononuclear phagocyte,CL:0000113,mononuclear phagocyte,dendritic cell,CL:0000451,dendritic cell,lung migratory dendritic cell,CL:4033045,lung migratory dendritic cell,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,precursor cell,CL:0011115,precursor cell,progenitor cell,CL:0011026,progenitor cell,hematopoietic stem cell,CL:0000037,hematopoietic stem cell,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,epithelial cell of lower respiratory tract,CL:0002632,epithelial cell of lower respiratory tract,epithelial cell of lung,CL:0000082,epithelial cell of lung,pulmonary alveolar epithelial cell,CL:0000322,pulmonary alveolar epithelial cell,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,mature alpha-beta T cell,CL:0000791,mature alpha-beta T cell,"CD4-positive, alpha-beta T cell",CL:0000624,"CD4-positive, alpha-beta T cell","CD4-positive, alpha-beta memory T cell",CL:0000897,"CD4-positive, alpha-beta memory T cell","CD4-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001204,"CD4-positive, alpha-beta memory T cell, CD45RO-positive","effector memory CD4-positive, alpha-beta T cell",CL:0000905,"effector memory CD4-positive, alpha-beta T cell",azimuth,sc_transcriptomics,
cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,blood vessel endothelial cell,CL:0000071,blood vessel endothelial cell,microvascular endothelial cell,CL:2000008,microvascular endothelial cell,capillary endothelial cell,CL:0002144,capillary endothelial cell,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,renal intercalated cell,CL:0005010,renal intercalated cell,renal alpha-intercalated cell,CL:0005011,renal alpha-intercalated cell,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,connective tissue cell,CL:0002320,connective tissue cell,stromal cell,CL:0000499,stromal cell,fibroblast,CL:0000057,fibroblast,kidney interstitial fibroblast,CL:1000692,kidney interstitial fibroblast,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,precursor cell,CL:0011115,precursor cell,stem cell,CL:0000034,stem cell,multi fate stem cell,CL:0000048,multi fate stem cell,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,mesenchymal stem cell of adipose tissue,CL:0002570,mesenchymal stem cell of adipose tissue,mesenchymal stem cell of abdominal adipose tissue,CL:2000080,mesenchymal stem cell of abdominal adipose tissue,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,neural cell,CL:0002319,neural cell,neuron,CL:0000540,neuron,central nervous system neuron,CL:2000029,central nervous system neuron,interneuron,CL:0000099,interneuron,medial ganglionic eminence derived interneuron,CL:4023063,medial ganglionic eminence derived interneuron,pvalb GABAergic interneuron,CL:4023018,pvalb GABAergic interneuron,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,squamous epithelial cell,CL:0000076,squamous epithelial cell,kidney loop of Henle short descending thin limb epithelial cell,CL:4030012,kidney loop of Henle short descending thin limb epithelial cell,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,nephron tubule epithelial cell,CL:1000494,nephron tubule epithelial cell,kidney loop of Henle epithelial cell,CL:1000909,kidney loop of Henle epithelial cell,kidney loop of Henle descending limb epithelial cell,CL:1001021,kidney loop of Henle descending limb epithelial cell,kidney loop of Henle thin descending limb epithelial cell,CL:1001111,kidney loop of Henle thin descending limb epithelial cell,kidney loop of Henle long descending thin limb outer medulla epithelial cell,CL:4030013,kidney loop of Henle long descending thin limb outer medulla epithelial cell,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,blood vessel endothelial cell,CL:0000071,blood vessel endothelial cell,vein endothelial cell,CL:0002543,vein endothelial cell,vein endothelial cell of respiratory system,CL:4033008,vein endothelial cell of respiratory system,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,endothelial cell,CL:0000115,endothelial cell,myeloid leukocyte,CL:0000766,myeloid leukocyte,macrophage,CL:0000235,macrophage,lung macrophage,CL:1001603,lung macrophage,lung interstitial macrophage,CL:4033043,lung interstitial macrophage,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,respiratory tract secretory epithelial cell,CL:0008055,respiratory tract secretory epithelial cell,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,cycling pulmonary alveolar type 2 cell,CL:4033080,cycling pulmonary alveolar type 2 cell,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,myeloid leukocyte,CL:0000766,myeloid leukocyte,macrophage,CL:0000235,macrophage,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,mononuclear phagocyte,CL:0000113,mononuclear phagocyte,dendritic cell,CL:0000451,dendritic cell,follicular dendritic cell,CL:0000442,follicular dendritic cell,,,,,,,,,,,,,,,,vccf,sc_proteomics,
cell,CL:0000000,cell,connective tissue cell,CL:0002320,connective tissue cell,stromal cell,CL:0000499,stromal cell,fibroblast,CL:0000057,fibroblast,hepatic stellate cell,CL:0000632,hepatic stellate cell,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,muscle cell,CL:0000187,muscle cell,striated muscle cell,CL:0000737,striated muscle cell,cardiac muscle cell,CL:0000746,cardiac muscle cell,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,mature alpha-beta T cell,CL:0000791,mature alpha-beta T cell,mature NK T cell,CL:0000814,mature NK T cell,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,mononuclear phagocyte,CL:0000113,mononuclear phagocyte,dendritic cell,CL:0000451,dendritic cell,"dendritic cell, human",CL:0001056,"dendritic cell, human",,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,epithelial cell of lower respiratory tract,CL:0002632,epithelial cell of lower respiratory tract,epithelial cell of lung,CL:0000082,epithelial cell of lung,pulmonary alveolar epithelial cell,CL:0000322,pulmonary alveolar epithelial cell,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,secretory epithelial cell,CL:1100001,secretory epithelial cell,glandular secretory epithelial cell,CL:0000150,glandular secretory epithelial cell,acinar cell,CL:0000622,acinar cell,pancreatic acinar cell,CL:0002064,pancreatic acinar cell,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,muscle cell,CL:0000187,muscle cell,striated muscle cell,CL:0000737,striated muscle cell,cardiac muscle cell,CL:0000746,cardiac muscle cell,regular cardiac myocyte,CL:0002098,regular cardiac myocyte,regular atrial cardiac myocyte,CL:0002129,regular atrial cardiac myocyte,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,blood vessel endothelial cell,CL:0000071,blood vessel endothelial cell,vein endothelial cell,CL:0002543,vein endothelial cell,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,hematopoietic precursor cell,CL:0008001,hematopoietic precursor cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,neural cell,CL:0002319,neural cell,neuron,CL:0000540,neuron,central nervous system neuron,CL:2000029,central nervous system neuron,interneuron,CL:0000099,interneuron,cortical interneuron,CL:0008031,cortical interneuron,cerebral cortex GABAergic interneuron,CL:0010011,cerebral cortex GABAergic interneuron,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,nephron tubule epithelial cell,CL:1000494,nephron tubule epithelial cell,epithelial cell of distal tubule,CL:0002305,epithelial cell of distal tubule,kidney loop of Henle ascending limb epithelial cell,CL:1001016,kidney loop of Henle ascending limb epithelial cell,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,kidney loop of Henle medullary thick ascending limb epithelial cell,CL:1001108,kidney loop of Henle medullary thick ascending limb epithelial cell,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,blood vessel endothelial cell,CL:0000071,blood vessel endothelial cell,microvascular endothelial cell,CL:2000008,microvascular endothelial cell,vasa recta cell,CL:1001036,vasa recta cell,vasa recta descending limb cell,CL:1001285,vasa recta descending limb cell,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,renal cortical epithelial cell,CL:0002584,renal cortical epithelial cell,kidney cortex tubule cell,CL:1000615,kidney cortex tubule cell,epithelial cell of proximal tubule,CL:0002306,epithelial cell of proximal tubule,brush border cell of the proximal tubule,CL:0002307,brush border cell of the proximal tubule,kidney proximal convoluted tubule epithelial cell,CL:1000838,kidney proximal convoluted tubule epithelial cell,epithelial cell of proximal tubule segment 1,CL:4030009,epithelial cell of proximal tubule segment 1,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,renal cortical epithelial cell,CL:0002584,renal cortical epithelial cell,kidney cortex tubule cell,CL:1000615,kidney cortex tubule cell,epithelial cell of proximal tubule,CL:0002306,epithelial cell of proximal tubule,brush border cell of the proximal tubule,CL:0002307,brush border cell of the proximal tubule,epithelial cell of proximal tubule segment 3,CL:4030011,epithelial cell of proximal tubule segment 3,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,connective tissue cell,CL:0002320,connective tissue cell,stromal cell,CL:0000499,stromal cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,renal cortical epithelial cell,CL:0002584,renal cortical epithelial cell,kidney corpuscule cell,CL:1000612,kidney corpuscule cell,glomerular cell,CL:1000746,glomerular cell,kidney glomerular epithelial cell,CL:1000510,kidney glomerular epithelial cell,epithelial cell of glomerular capsule,CL:1000450,epithelial cell of glomerular capsule,podocyte,CL:0000653,podocyte,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,myeloid cell,CL:0000763,myeloid cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,effector T cell,CL:0000911,effector T cell,helper T cell,CL:0000912,helper T cell,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,hematopoietic precursor cell,CL:0008001,hematopoietic precursor cell,hematopoietic multipotent progenitor cell,CL:0000837,hematopoietic multipotent progenitor cell,early lymphoid progenitor,CL:0000936,early lymphoid progenitor,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,B cell,CL:0000236,B cell,"B cell, CD19-positive",CL:0001201,"B cell, CD19-positive",mature B cell,CL:0000785,mature B cell,plasmablast,CL:0000980,plasmablast,,,,,,,azimuth,sc_transcriptomics,
