AS/1,AS/1/ID,AS/1/LABEL,AS/2,AS/2/ID,AS/2/LABEL,AS/3,AS/3/ID,AS/3/LABEL,AS/4,AS/4/ID,AS/4/LABEL,AS/5,AS/5/ID,AS/5/LABEL,AS/6,AS/6/ID,AS/6/LABEL,AS/7,AS/7/ID,AS/7/LABEL,AS/8,AS/8/ID,AS/8/LABEL,AS/9,AS/9/ID,AS/9/LABEL,AS/10,AS/10/ID,AS/10/LABEL,AS/11,AS/11/ID,AS/11/LABEL,AS/12,AS/12/ID,AS/12/LABEL,CT/1 - Sources,BGene/1,NV notes
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,antibody secreting cell,CL:0000946,antibody secreting cell,plasma cell,CL:0000786,plasma cell,cycling plasma cell,CL:4047003,cycling plasma cell,,,,,,,,,,,,
cell,CL:0000000,cell,precursor cell,CL:0011115,precursor cell,progenitor cell,CL:0011026,progenitor cell,neuroblast (sensu Vertebrata),CL:0000031,neuroblast (sensu Vertebrata),,,,,,,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,precursor cell,CL:0011115,precursor cell,progenitor cell,CL:0011026,progenitor cell,hematopoietic stem cell,CL:0000037,hematopoietic stem cell,,,,,,,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,neural cell,CL:0002319,neural cell,neuron,CL:0000540,neuron,efferent neuron,CL:0000527,efferent neuron,neuroendocrine cell,CL:0000165,neuroendocrine cell,,,,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,secretory epithelial cell,CL:1100001,secretory epithelial cell,enteroendocrine cell,CL:0000164,enteroendocrine cell,pancreatic endocrine cell,CL:0008024,pancreatic endocrine cell,type B pancreatic cell,CL:0000169,type B pancreatic cell,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,B cell,CL:0000236,B cell,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,connective tissue cell,CL:0002320,connective tissue cell,pericyte,CL:0000669,pericyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,"lymphocyte of B lineage, CD19-positive",CL:0001200,"lymphocyte of B lineage, CD19-positive","B cell, CD19-positive",CL:0001201,"B cell, CD19-positive",mature B cell,CL:0000785,mature B cell,memory B cell,CL:0000787,memory B cell,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,effector T cell,CL:0000911,effector T cell,cytotoxic T cell,CL:0000910,cytotoxic T cell,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,mature alpha-beta T cell,CL:0000791,mature alpha-beta T cell,mucosal-associated invariant T cell,CL:0000940,mucosal-associated invariant T cell,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,antibody secreting cell,CL:0000946,antibody secreting cell,plasma cell,CL:0000786,plasma cell,long lived plasma cell,CL:0000974,long lived plasma cell,IgA plasma cell,CL:0000987,IgA plasma cell,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,innate lymphoid cell,CL:0001065,innate lymphoid cell,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,muscle cell,CL:0000187,muscle cell,striated muscle cell,CL:0000737,striated muscle cell,cardiac muscle cell,CL:0000746,cardiac muscle cell,specialized cardiac myocyte,CL:0002086,specialized cardiac myocyte,nodal myocyte,CL:0002072,nodal myocyte,myocyte of sinoatrial node,CL:1000409,myocyte of sinoatrial node,cardiac pacemaker cell of sinoatrial node,CL:1000477,cardiac pacemaker cell of sinoatrial node,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,connective tissue cell,CL:0002320,connective tissue cell,stromal cell,CL:0000499,stromal cell,fibroblast,CL:0000057,fibroblast,kidney interstitial fibroblast,CL:1000692,kidney interstitial fibroblast,renal medullary fibroblast,CL:4030022,renal medullary fibroblast,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,precursor cell,CL:0011115,precursor cell,progenitor cell,CL:0011026,progenitor cell,respiratory tract suprabasal cell,CL:4033048,respiratory tract suprabasal cell,,,,,,,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,blood vessel endothelial cell,CL:0000071,blood vessel endothelial cell,,,,,,,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,secretory epithelial cell,CL:1100001,secretory epithelial cell,enteroendocrine cell,CL:0000164,enteroendocrine cell,,,,,,,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,muscle cell,CL:0000187,muscle cell,striated muscle cell,CL:0000737,striated muscle cell,myotube,CL:0002372,myotube,skeletal muscle fiber,CL:0008002,skeletal muscle fiber,extrafusal muscle fiber,CL:0008046,extrafusal muscle fiber,slow muscle cell,CL:0000189,slow muscle cell,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,,,,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,myeloid leukocyte,CL:0000766,myeloid leukocyte,macrophage,CL:0000235,macrophage,tissue-resident macrophage,CL:0000864,tissue-resident macrophage,alveolar macrophage,CL:0000583,alveolar macrophage,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,myeloid cell,CL:0000763,myeloid cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,myeloid leukocyte,CL:0000766,myeloid leukocyte,monocyte,CL:0000576,monocyte,non-classical monocyte,CL:0000875,non-classical monocyte,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,blood vessel endothelial cell,CL:0000071,blood vessel endothelial cell,microvascular endothelial cell,CL:2000008,microvascular endothelial cell,capillary endothelial cell,CL:0002144,capillary endothelial cell,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,blood vessel endothelial cell,CL:0000071,blood vessel endothelial cell,endothelial cell of sinusoid,CL:0002262,endothelial cell of sinusoid,endothelial cell of hepatic sinusoid,CL:1000398,endothelial cell of hepatic sinusoid,endothelial cell of pericentral hepatic sinusoid,CL:0019022,endothelial cell of pericentral hepatic sinusoid,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
